run,candidate,control,T,mode,control_median_us,candidate_median_us,control_samples,control_pooled_p10_us,control_pooled_p90_us,candidate_samples,candidate_pooled_p10_us,candidate_pooled_p90_us,ratio_min,ratio_median,ratio_max,improvement,noise_floor,accepted,regression
noise,0,0,1,hot,168.5,165.0,40,117.8,232.0,40,118.0,225.5,0.9739696312364425,0.9801753717117804,1.0,0.019824628288219626,0,False,False
noise,0,0,1,ring24,46.21875,46.47916666666667,40,42.90416666666666,51.7125,40,44.204166666666666,49.58333333333333,0.9664162615996464,1.007688191814144,1.075918762088975,-0.007688191814144041,0,False,False
noise,0,0,16,hot,122.25,122.0,40,115.0,128.1,40,118.0,130.0,0.991869918699187,1.000050185687042,1.0340425531914894,-5.018568704207027e-05,0,False,False
noise,0,0,16,ring24,48.40625,48.3125,40,43.858333333333334,53.400000000000006,40,45.829166666666666,53.78333333333333,0.960865945045795,1.0212127477692294,1.067219152854512,-0.021212747769229434,0,False,False
noise,0,0,64,hot,163.5,163.0,40,151.9,171.1,40,157.9,172.0,0.9763313609467456,1.0094241044143453,1.0149253731343284,-0.009424104414345269,0,False,False
noise,0,0,64,ring24,59.5,62.89583333333333,40,58.6875,60.09583333333334,40,59.079166666666666,70.97916666666666,0.9933820968303727,1.0608078650350423,1.184744576627012,-0.06080786503504232,0,False,True
noise,0,0,256,hot,288.0,282.25,40,263.0,310.0,40,261.9,307.1,0.9675324675324676,0.9799062937738492,1.0113851992409868,0.02009370622615081,0,False,False
noise,0,0,256,ring24,163.51041666666669,163.45833333333331,40,162.15833333333333,164.29166666666666,40,161.90416666666667,164.13333333333333,0.9945264765784113,0.9996821534666764,1.0038255547054322,0.0003178465333235625,0,False,False
noise,0,0,1024,hot,687.75,687.0,40,667.9,712.2,40,669.8,702.0,0.9886845827439887,0.9956765158843295,1.0044510385756678,0.004323484115670517,0,False,False
noise,0,0,1024,ring24,582.15625,579.1145833333333,40,572.0708333333333,597.4250000000001,40,576.0083333333333,592.3041666666667,0.9908436653840671,0.9986925244641098,1.0058183933961233,0.001307475535890168,0,False,False
noise,0,0,4096,hot,2394.75,2395.0,40,2361.0,2475.4,40,2364.4,2475.0,0.9838742600530721,1.0001056702278057,1.0044080604534005,-0.00010567022780572088,0,False,False
noise,0,0,4096,ring24,2560.4375,2560.364583333333,40,2556.3333333333335,2564.7583333333337,40,2557.7458333333334,2563.266666666667,0.9993171286887245,0.999992230179801,1.001197829240071,7.769820199010624e-06,0,False,False
fused,1,0,1,hot,197.75,135.25,40,138.9,225.1,40,111.0,163.60000000000002,0.6658031088082902,0.7125326514339135,0.8256227758007118,0.28746734856608647,0.026030368763557465,True,False
fused,2,0,1,hot,196.75,137.0,40,132.0,211.1,40,109.9,154.1,0.6902173913043478,0.7103591317195136,0.8333333333333334,0.2896408682804864,0.026030368763557465,True,False
fused,3,0,1,hot,169.5,126.0,40,133.0,213.0,40,108.9,152.1,0.6247030878859857,0.7891998869098106,0.8456140350877193,0.21080011309018942,0.026030368763557465,True,False
fused,4,0,1,hot,175.5,144.75,40,128.0,219.0,40,114.9,172.1,0.7416267942583732,0.8429143791198053,0.9471830985915493,0.15708562088019473,0.026030368763557465,True,False
fused,1,0,1,ring24,46.666666666666664,17.3125,40,44.77916666666666,56.075,40,15.954166666666667,19.825000000000003,0.3491418247515809,0.3719944399016186,0.39413265306122447,0.6280055600983814,0.07591876208897497,True,False
fused,2,0,1,ring24,46.69791666666667,17.604166666666664,40,42.1375,51.22083333333334,40,15.654166666666667,19.5,0.3537473233404711,0.37332258214764413,0.44215686274509797,0.6266774178523559,0.07591876208897497,True,False
fused,3,0,1,ring24,47.96875,17.010416666666664,40,45.325,52.7625,40,16.329166666666666,18.4625,0.3391666666666666,0.3536392145794006,0.36925795053003535,0.6463607854205994,0.07591876208897497,True,False
fused,4,0,1,ring24,47.13541666666667,17.135416666666664,40,41.583333333333336,50.72083333333333,40,15.0375,18.879166666666666,0.3577661431064572,0.36706961178045516,0.38747810858143605,0.6329303882195448,0.07591876208897497,True,False
fused,1,0,16,hot,213.0,129.25,40,131.9,220.1,40,121.9,146.3,0.5995260663507109,0.6391685250079644,0.9172932330827067,0.3608314749920356,0.03404255319148941,True,False
fused,2,0,16,hot,193.5,128.25,40,148.6,225.1,40,117.9,140.0,0.5707547169811321,0.691151765828826,0.7993311036789298,0.308848234171174,0.03404255319148941,True,False
fused,3,0,16,hot,217.75,126.0,40,172.9,229.0,40,114.6,135.0,0.5586854460093896,0.5915294352126361,0.6896551724137931,0.4084705647873639,0.03404255319148941,True,False
fused,4,0,16,hot,217.75,130.0,40,172.9,230.1,40,120.0,138.0,0.574468085106383,0.6053335431088736,0.7146974063400576,0.39466645689112645,0.03404255319148941,True,False
fused,1,0,16,ring24,47.614583333333336,17.677083333333332,40,43.17916666666667,57.03333333333333,40,15.875,19.9625,0.3513298928146089,0.36339503203917556,0.38290598290598293,0.6366049679608244,0.06721915285451208,True,False
fused,2,0,16,ring24,48.69791666666667,18.197916666666668,40,42.78333333333333,60.01666666666667,40,16.150000000000002,19.858333333333334,0.36972281449893385,0.3780042399363802,0.3795309168443496,0.6219957600636198,0.06721915285451208,True,False
fused,3,0,16,ring24,47.78125,18.260416666666664,40,42.2875,55.93750000000001,40,16.1625,20.8,0.3795233892321271,0.38547742501002835,0.42575107296137343,0.6145225749899716,0.06721915285451208,True,False
fused,4,0,16,ring24,45.34375,16.760416666666664,40,41.99583333333334,52.520833333333336,40,15.858333333333334,18.19166666666667,0.35417558886509637,0.37261749620857054,0.38053527980535284,0.6273825037914295,0.06721915285451208,True,False
fused,1,0,64,hot,203.25,142.0,40,171.0,335.0,40,124.0,192.0,0.5774436090225564,0.7018539117538005,0.7309941520467836,0.2981460882461995,0.023668639053254448,True,False
fused,2,0,64,hot,203.5,125.0,40,159.9,333.0,40,110.9,161.1,0.48348348348348347,0.6211798152096659,0.69375,0.3788201847903341,0.023668639053254448,True,False
fused,3,0,64,hot,247.5,116.75,40,162.0,334.1,40,95.0,138.0,0.4066265060240964,0.5038996049267952,0.600609756097561,0.4961003950732048,0.023668639053254448,True,False
fused,4,0,64,hot,238.0,111.75,40,156.0,333.0,40,98.0,141.0,0.3921259842519685,0.5243329143046892,0.6305732484076433,0.4756670856953108,0.023668639053254448,True,False
