query_rows,rows,variant,stage,count,median_us,minimum_us,maximum_us
256,256,9,RMSNorm,25,8.666,8.291,9.708
256,256,9,packed QKV projection,25,358.625,357.541,383.708
256,256,9,QKV unpack,25,32.708,31.958,37.666
256,256,9,Q RoPE,25,32.209,31.625,37.625
256,256,9,K RoPE,25,7.875,7.625,8.292
256,256,9,KV append,25,7.041,6.708,7.5
256,256,9,FP32 GQA,25,169.0,142.75,188.125
256,256,9,output projection,25,284.125,280.959,302.417
256,256,9,residual,25,29.792,27.0,30.709
256,256,18,RMSNorm,25,11.583,8.542,13.459
256,256,18,packed QKV projection,25,278.0,257.125,439.833
256,256,18,QKV unpack,25,33.416,32.416,55.125
256,256,18,Q RoPE,25,33.375,31.958,54.083
256,256,18,K RoPE,25,8.208,7.834,12.75
256,256,18,KV append,25,7.292,6.791,11.833
256,256,18,FP32 GQA,25,181.666,153.792,307.459
256,256,18,output projection,25,210.584,206.042,353.708
256,256,18,residual,25,30.791,27.125,52.875
1024,1024,9,RMSNorm,25,23.292,22.542,26.292
1024,1024,9,packed QKV projection,25,1388.542,1386.959,1392.0
1024,1024,9,QKV unpack,25,135.708,133.417,137.083
1024,1024,9,Q RoPE,25,129.292,128.584,134.292
1024,1024,9,K RoPE,25,20.75,20.167,24.167
1024,1024,9,KV append,25,20.167,19.542,23.417
1024,1024,9,FP32 GQA,25,1617.459,1562.25,1709.791
1024,1024,9,output projection,25,1089.125,1087.083,1092.792
1024,1024,9,residual,25,112.792,112.208,118.5
1024,1024,18,RMSNorm,25,23.417,22.333,27.625
1024,1024,18,packed QKV projection,25,978.583,976.375,981.416
1024,1024,18,QKV unpack,25,133.834,133.458,136.958
1024,1024,18,Q RoPE,25,129.709,128.875,133.167
1024,1024,18,K RoPE,25,20.875,20.375,21.25
1024,1024,18,KV append,25,19.916,19.583,25.5
1024,1024,18,FP32 GQA,25,1637.084,1580.042,1729.459
1024,1024,18,output projection,25,761.917,758.791,770.291
1024,1024,18,residual,25,112.583,112.292,115.458
4096,4096,9,RMSNorm,10,85.021,79.416,85.834
4096,4096,9,packed QKV projection,10,5510.521000000001,5507.5,5513.5
4096,4096,9,QKV unpack,10,591.7705000000001,591.125,595.625
4096,4096,9,Q RoPE,10,563.5625,561.584,565.958
4096,4096,9,K RoPE,10,82.646,80.875,84.0
4096,4096,9,KV append,10,75.7705,75.5,76.083
4096,4096,9,FP32 GQA,10,21064.5625,20905.25,21324.875
4096,4096,9,output projection,10,4300.042,4297.625,4302.334
4096,4096,9,residual,10,491.4375,490.666,493.833
4096,4096,18,RMSNorm,10,84.8955,78.542,85.916
4096,4096,18,packed QKV projection,10,3842.1875,3840.625,3846.042
4096,4096,18,QKV unpack,10,592.0205,590.333,595.0
4096,4096,18,Q RoPE,10,563.375,561.166,565.917
4096,4096,18,K RoPE,10,82.7505,82.084,83.084
4096,4096,18,KV append,10,76.021,75.709,76.208
4096,4096,18,FP32 GQA,10,21070.5625,20927.916,21347.292
4096,4096,18,output projection,10,2972.0005,2971.167,2977.0
4096,4096,18,residual,10,491.208,490.458,494.709
64,4096,9,RMSNorm,25,5.667,5.541,6.0
64,4096,9,packed QKV projection,25,103.333,102.75,103.791
64,4096,9,QKV unpack,25,9.959,9.667,10.167
64,4096,9,Q RoPE,25,10.625,10.333,11.083
64,4096,9,K RoPE,25,5.5,5.0,6.041
64,4096,9,KV append,25,4.125,3.875,4.792
64,4096,9,FP32 GQA,25,1498.917,1492.125,1506.958
64,4096,9,output projection,25,89.042,86.5,92.208
64,4096,9,residual,25,8.459,8.208,8.667
64,4096,18,RMSNorm,25,5.709,5.417,6.541
64,4096,18,packed QKV projection,25,81.625,80.708,82.542
64,4096,18,QKV unpack,25,10.0,9.75,10.708
64,4096,18,Q RoPE,25,10.625,10.417,12.708
64,4096,18,K RoPE,25,5.667,5.042,6.584
64,4096,18,KV append,25,4.125,4.0,5.75
64,4096,18,FP32 GQA,25,1501.5,1493.584,1632.167
64,4096,18,output projection,25,64.625,62.167,67.791
64,4096,18,residual,25,8.625,8.25,9.0
