query_rows,rows,layers,candidate,control_us,candidate_us,ratio,ratio_min,ratio_max,noise_floor,decision
1,64,1,3,443.0,465.25,1.0045537340619308,0.9896414342629483,1.160071942446043,0.16007194244604306,calibration
1,64,1,5,423.5,205.75,0.7700625909532658,0.34593262119967133,0.8649237472766884,0.16007194244604306,faster
1,64,1,6,447.75,348.25,0.7938204136539432,0.7502047502047502,0.9235807860262009,0.16007194244604306,faster
1,64,24,3,277.1145833333333,288.23958333333337,1.0490205968282493,0.9704998844642996,1.1294165981922761,0.12941659819227613,calibration
1,64,24,5,274.21875,227.03125,0.8355343290365234,0.8177472363310427,0.9434590603055092,0.12941659819227613,faster
1,64,24,6,273.0833333333333,248.76041666666669,0.9093332321991797,0.8702593368489489,0.9293112572767823,0.12941659819227613,inconclusive
1,4096,1,3,2453.75,2462.0,1.0022379346656927,0.9981744421906694,1.0105841644616325,0.05,calibration
1,4096,1,5,2484.5,272.5,0.1099916503747149,0.10767376456408197,0.12672949669139763,0.05,faster
1,4096,1,6,2481.75,270.5,0.11040004929910127,0.10300514037168841,0.11348088531187123,0.05,faster
1,4096,24,3,2665.53125,2667.40625,1.0007036389103088,0.9998117351741451,1.0013492855805826,0.05,calibration
1,4096,24,5,2663.354166666667,243.80208333333331,0.09142886168298105,0.0889082928578668,0.10374759643684024,0.05,faster
1,4096,24,6,2666.6458333333335,275.0833333333333,0.10316704848508307,0.09851076596971654,0.1110850641536562,0.05,faster
