query_rows,rows,variant,stage,count,median_us,minimum_us,maximum_us
1,4096,8,RMSNorm,50,20.917,5.583,28.917
1,4096,8,Q projection,50,62.5,13.792,64.083
1,4096,8,K projection,50,35.4585,9.209,38.708
1,4096,8,V projection,50,35.3335,9.291,39.959
1,4096,8,Q RoPE,50,19.1875,5.125,22.459
1,4096,8,K RoPE,50,18.416,5.083,20.709
1,4096,8,KV append,50,12.875,3.5,13.458
1,4096,8,FP32 GQA,50,294.39599999999996,69.958,297.209
1,4096,8,output projection,50,62.3125,13.542,71.208
1,4096,8,residual,50,12.187999999999999,3.25,21.042
1,4096,9,RMSNorm,50,21.167,8.291,21.917
1,4096,9,packed QKV projection,50,68.417,25.917,69.875
1,4096,9,QKV unpack,50,12.6875,5.083,13.334
1,4096,9,Q RoPE,50,19.5835,7.583,20.583
1,4096,9,K RoPE,50,18.375,7.208,19.625
1,4096,9,KV append,50,12.9165,5.375,14.167
1,4096,9,FP32 GQA,50,292.72950000000003,104.834,300.083
1,4096,9,output projection,50,61.729,24.042,72.25
1,4096,9,residual,50,12.333,4.917,19.5
1024,1024,8,RMSNorm,25,24.0,23.0,26.375
1024,1024,8,Q projection,25,9810.417,9808.5,9815.125
1024,1024,8,K projection,25,1382.5,1381.0,1385.333
1024,1024,8,V projection,25,1383.958,1380.834,1384.375
1024,1024,8,Q RoPE,25,129.459,129.25,131.625
1024,1024,8,K RoPE,25,20.791,20.417,24.084
1024,1024,8,KV append,25,20.292,19.875,25.333
1024,1024,8,FP32 GQA,25,1626.958,1580.958,1717.583
1024,1024,8,output projection,25,1087.208,1085.667,1088.5
1024,1024,8,residual,25,112.625,112.375,118.208
1024,1024,9,RMSNorm,25,23.833,22.375,26.458
1024,1024,9,packed QKV projection,25,1389.042,1387.083,1416.0
1024,1024,9,QKV unpack,25,133.834,133.542,136.834
1024,1024,9,Q RoPE,25,129.875,129.292,134.084
1024,1024,9,K RoPE,25,20.75,20.5,23.25
1024,1024,9,KV append,25,20.375,19.792,26.25
1024,1024,9,FP32 GQA,25,1596.334,1541.875,1730.958
1024,1024,9,output projection,25,1088.917,1086.541,1106.584
1024,1024,9,residual,25,112.625,112.167,118.125
4096,4096,8,RMSNorm,10,85.1045,78.625,88.0
4096,4096,8,Q projection,10,41011.75,41007.875,41051.459
4096,4096,8,K projection,10,5766.8544999999995,5765.5,5771.0
4096,4096,8,V projection,10,5760.271,5757.625,5798.666
4096,4096,8,Q RoPE,10,556.4794999999999,555.875,558.084
4096,4096,8,K RoPE,10,82.1665,80.75,83.375
4096,4096,8,KV append,10,75.8955,75.791,76.333
4096,4096,8,FP32 GQA,10,21039.292,20951.708,21373.458
4096,4096,8,output projection,10,4299.3125,4296.667,4339.167
4096,4096,8,residual,10,492.35450000000003,490.208,494.209
4096,4096,9,RMSNorm,10,84.6465,78.708,87.125
4096,4096,9,packed QKV projection,10,5511.291499999999,5508.25,5513.5
4096,4096,9,QKV unpack,10,591.5,589.75,596.042
4096,4096,9,Q RoPE,10,563.646,561.083,566.042
4096,4096,9,K RoPE,10,82.3755,81.667,83.25
4096,4096,9,KV append,10,75.792,75.583,76.084
4096,4096,9,FP32 GQA,10,21013.708,20882.708,21152.875
4096,4096,9,output projection,10,4316.375,4301.917,4337.791
4096,4096,9,residual,10,490.91650000000004,490.375,493.667
64,4096,8,RMSNorm,25,5.791,5.458,7.0
64,4096,8,Q projection,25,565.167,562.042,567.583
64,4096,8,K projection,25,84.209,83.209,87.166
64,4096,8,V projection,25,83.667,83.208,84.5
64,4096,8,Q RoPE,25,10.667,10.375,11.417
64,4096,8,K RoPE,25,5.333,4.958,5.75
64,4096,8,KV append,25,4.167,3.958,4.792
64,4096,8,FP32 GQA,25,1508.875,1501.916,1734.792
64,4096,8,output projection,25,86.958,86.125,89.917
64,4096,8,residual,25,8.583,8.333,9.667
64,4096,9,RMSNorm,25,5.75,5.458,8.084
64,4096,9,packed QKV projection,25,103.666,103.042,154.0
64,4096,9,QKV unpack,25,10.125,9.667,13.208
64,4096,9,Q RoPE,25,10.916,10.583,14.916
64,4096,9,K RoPE,25,5.792,5.125,7.0
64,4096,9,KV append,25,4.375,3.916,5.625
64,4096,9,FP32 GQA,25,1521.458,1502.875,2033.167
64,4096,9,output projection,25,89.292,86.125,117.375
64,4096,9,residual,25,8.583,8.333,10.791
