query_rows,rows,variant,stage,count,median_us,minimum_us,maximum_us
64,4096,9,RMSNorm,25,5.708,5.458,5.958
64,4096,9,packed QKV projection,25,103.25,102.916,104.125
64,4096,9,QKV unpack,25,10.0,9.75,10.375
64,4096,9,Q RoPE,25,10.625,10.25,11.292
64,4096,9,K RoPE,25,5.625,5.041,6.208
64,4096,9,KV append,25,4.167,3.917,4.875
64,4096,9,FP32 GQA,25,1503.791,1494.917,1580.25
64,4096,9,output projection,25,89.125,86.5,90.416
64,4096,9,residual,25,8.459,8.292,8.667
64,4096,13,RMSNorm,25,5.875,5.416,8.375
64,4096,13,packed QKV projection,25,103.625,103.083,175.417
64,4096,13,QKV unpack,25,10.042,9.75,18.167
64,4096,13,Q RoPE,25,10.959,10.541,17.666
64,4096,13,K RoPE,25,5.667,5.042,8.125
64,4096,13,KV append,25,4.333,4.0,6.291
64,4096,13,FP32 GQA split,25,739.667,735.75,1120.208
64,4096,13,FP32 GQA merge,25,12.334,11.958,20.792
64,4096,13,output projection,25,90.125,89.083,139.208
64,4096,13,residual,25,8.667,8.292,12.25
1024,1024,9,RMSNorm,25,24.208,22.666,30.541
1024,1024,9,packed QKV projection,25,1388.416,1387.041,1391.875
1024,1024,9,QKV unpack,25,135.708,133.542,136.792
1024,1024,9,Q RoPE,25,129.834,129.459,135.791
1024,1024,9,K RoPE,25,21.0,20.5,26.5
1024,1024,9,KV append,25,20.875,19.791,26.666
1024,1024,9,FP32 GQA,25,1612.125,1546.542,1748.834
1024,1024,9,output projection,25,1089.166,1086.458,1093.042
1024,1024,9,residual,25,114.625,112.125,117.958
1024,1024,13,RMSNorm,25,26.791,24.375,32.167
1024,1024,13,packed QKV projection,25,1390.0,1387.416,1671.417
1024,1024,13,QKV unpack,25,134.417,133.833,160.584
1024,1024,13,Q RoPE,25,129.917,129.417,155.834
1024,1024,13,K RoPE,25,21.75,20.625,30.875
1024,1024,13,KV append,25,24.709,20.625,28.167
1024,1024,13,FP32 GQA split,25,1461.042,1439.416,1734.333
1024,1024,13,FP32 GQA merge,25,132.625,124.292,156.625
1024,1024,13,output projection,25,1088.333,1086.5,1309.209
1024,1024,13,residual,25,114.417,112.333,134.959
