query_rows,rows,variant,stage,count,median_us,minimum_us,maximum_us
1,4096,3,RMSNorm,100,5.833,5.333,6.916
1,4096,3,Q projection,100,14.0,13.5,23.541
1,4096,3,K projection,100,9.583,9.042,14.209
1,4096,3,V projection,100,9.416,9.042,13.916
1,4096,3,Q RoPE,100,5.292,4.875,7.958
1,4096,3,K RoPE,100,5.208,4.792,6.0
1,4096,3,KV append,100,3.625,3.375,4.917
1,4096,3,QK,100,50.125,49.75,52.958
1,4096,3,softmax,100,1109.729,1099.0,1141.166
1,4096,3,PV,100,1008.854,1003.792,1424.042
1,4096,3,output projection,100,16.417,14.125,23.375
1,4096,3,residual,100,3.375,3.0,4.708
1024,1024,3,RMSNorm,25,25.042,22.583,29.417
1024,1024,3,Q projection,25,9813.417,9810.542,9816.583
1024,1024,3,K projection,25,1384.417,1383.083,1388.0
1024,1024,3,V projection,25,1384.125,1380.833,1386.917
1024,1024,3,Q RoPE,25,129.667,129.333,130.167
1024,1024,3,K RoPE,25,20.916,20.667,27.333
1024,1024,3,KV append,25,22.0,20.0,27.5
1024,1024,3,QK,25,8462.459,8459.291,8465.417
1024,1024,3,softmax,25,679.125,653.625,773.167
1024,1024,3,PV,25,6486.917,6472.75,6498.584
1024,1024,3,output projection,25,9724.959,9723.959,9727.083
1024,1024,3,residual,25,112.75,112.333,115.208
4096,4096,3,RMSNorm,10,85.292,82.166,97.708
4096,4096,3,Q projection,10,41549.667,41310.875,42431.583
4096,4096,3,K projection,10,5825.271000000001,5768.375,6197.584
4096,4096,3,V projection,10,5812.333500000001,5759.042,6087.958
4096,4096,3,Q RoPE,10,557.3335,556.708,569.083
4096,4096,3,K RoPE,10,84.0835,82.875,324.541
4096,4096,3,KV append,10,75.9165,75.583,76.708
4096,4096,3,QK,10,143408.7085,142914.917,145177.248
4096,4096,3,softmax,10,13481.084,13258.625,13893.876
4096,4096,3,PV,10,101087.56599999999,100816.373,102364.42
4096,4096,3,output projection,10,41350.7705,40978.833,42406.957
4096,4096,3,residual,10,494.6875,489.709,572.0
64,4096,3,RMSNorm,25,6.917,6.625,7.417
64,4096,3,Q projection,25,563.458,562.917,566.167
64,4096,3,K projection,25,83.875,83.458,183.792
64,4096,3,V projection,25,83.917,83.541,104.042
64,4096,3,Q RoPE,25,11.375,10.916,25.875
64,4096,3,K RoPE,25,5.625,5.375,18.542
64,4096,3,KV append,25,5.0,4.75,18.167
64,4096,3,QK,25,3088.208,3085.833,3334.791
64,4096,3,softmax,25,1428.583,1361.792,1873.125
64,4096,3,PV,25,3833.125,3763.75,5243.21
64,4096,3,output projection,25,557.75,556.834,689.792
64,4096,3,residual,25,9.375,9.0,9.875
