query_rows,rows,layers,candidate,control_us,candidate_us,ratio,ratio_min,ratio_max,noise_floor,decision
1,1,1,8,423.5,422.75,0.976501383581835,0.9621212121212122,1.0097205346294047,0.05,calibration
1,1,1,9,358.0,316.25,0.8839306141124947,0.8724373576309795,0.9301745635910225,0.05,faster
1,1,24,8,240.19791666666666,248.38541666666666,0.9976728092149663,0.9664767747589833,1.0622656318130288,0.0622656318130288,calibration
1,1,24,9,231.1875,222.86458333333334,0.9415295057118627,0.9041888664339519,1.0415634948708878,0.0622656318130288,inconclusive
1,16,1,8,279.5,334.5,1.0263837626695873,0.9089403973509934,1.5350194552529184,0.5350194552529184,calibration
1,16,1,9,260.25,260.0,0.8715901530272787,0.8506731946144431,1.1889596602972399,0.5350194552529184,inconclusive
1,16,24,8,226.80208333333331,251.36458333333331,1.065064276067465,0.9732031773375444,1.185526910900045,0.18552691090004503,calibration
1,16,24,9,242.44791666666666,201.98958333333334,0.861770058722817,0.7541152263374487,0.9062841258810681,0.18552691090004503,inconclusive
1,64,1,8,276.5,335.75,1.0345422909792465,0.9558303886925795,1.4851851851851852,0.48518518518518516,calibration
1,64,1,9,257.25,232.5,0.9063421716206923,0.850546780072904,0.9398496240601504,0.48518518518518516,inconclusive
1,64,24,8,249.66666666666669,237.5625,0.9785665541401989,0.948927392739274,1.005938332698896,0.051072607260726044,calibration
1,64,24,9,246.79166666666666,219.48958333333331,0.8974145289262396,0.8794154488517745,0.9060654857756307,0.051072607260726044,faster
1,256,1,8,354.75,353.75,1.0147420147420148,0.9857142857142858,1.039580908032596,0.05,calibration
1,256,1,9,286.25,259.25,0.8729185335643308,0.8034782608695652,0.9269162210338681,0.05,faster
1,256,24,8,257.2291666666667,254.9375,0.970626575429193,0.8539068666140487,1.1965229248338163,0.19652292483381628,calibration
1,256,24,9,245.94791666666669,226.875,0.9300288197465085,0.8814485821660403,1.014738945790657,0.19652292483381628,inconclusive
1,1024,1,8,399.25,477.5,1.009987832749634,1.0041109969167523,1.5097087378640777,0.5097087378640777,calibration
1,1024,1,9,395.0,351.5,0.8849969992062416,0.8275862068965517,0.8918495297805643,0.5097087378640777,inconclusive
1,1024,24,8,250.70833333333331,262.21875,1.0669419656260617,0.9022521832388538,1.162840101315467,0.162840101315467,calibration
1,1024,24,9,251.29166666666666,220.92708333333331,0.8576389781609866,0.852804904127165,0.9010887772194304,0.162840101315467,inconclusive
