query_rows,rows,layers,candidate,control_us,candidate_us,ratio,ratio_min,ratio_max,noise_floor,decision
1,1,1,9,356.25,353.75,0.9916612413524548,0.9735006973500697,1.0127118644067796,0.05,calibration
1,1,1,14,293.75,221.0,0.9837555357163834,0.5618131868131868,1.0089485458612975,0.05,inconclusive
1,1,24,9,209.15625,202.73958333333331,0.9626890263748937,0.9482258870564717,1.0191251271617496,0.051774112943528294,calibration
1,1,24,14,217.96875,206.41666666666669,0.969778942828309,0.871108018785876,1.0428860274555711,0.051774112943528294,inconclusive
1,16,1,9,205.25,280.0,1.025249052794804,0.9414519906323185,1.9671232876712328,0.9671232876712328,calibration
1,16,1,14,287.75,273.0,0.9918316977140507,0.8490566037735849,0.9958734525447043,0.9671232876712328,inconclusive
1,16,24,9,189.79166666666666,192.8125,1.0044935707171632,1.0027508802816902,1.0765244238615062,0.07652442386150615,calibration
1,16,24,14,197.27083333333334,198.54166666666666,1.008480422216329,0.8857863098700796,1.0410289807880169,0.07652442386150615,inconclusive
1,64,1,9,249.75,245.5,1.001261319623059,0.8884462151394422,1.111368909512761,0.11155378486055778,calibration
1,64,1,14,252.75,261.0,1.0053691052962663,1.0,1.0569744597249509,0.11155378486055778,inconclusive
1,64,24,9,214.53125,208.04166666666669,0.9732982772559343,0.9551783330154491,1.0184124386252047,0.05,calibration
1,64,24,14,210.83333333333331,214.61458333333334,1.0185080805851885,0.9829351535836177,1.0833333333333335,0.05,inconclusive
1,256,1,9,377.25,374.75,0.9953869151081137,0.9906914893617021,1.0198019801980198,0.05,calibration
1,256,1,14,299.75,244.5,0.992301724137931,0.7006802721088435,1.0817757009345794,0.05,inconclusive
1,256,24,9,212.28125,216.20833333333334,1.022530304265699,0.90307565939582,1.0845686996318775,0.09692434060417998,calibration
1,256,24,14,224.65625,217.64583333333331,0.9687728429150457,0.9468816067653277,0.9792192658768692,0.09692434060417998,inconclusive
1,1024,1,9,233.25,267.25,0.9897137745974955,0.9515260323159784,2.3910614525139664,1.3910614525139664,calibration
1,1024,1,14,338.75,240.0,0.9775678949740816,0.43387470997679817,1.0442477876106195,1.3910614525139664,inconclusive
1,1024,24,9,214.8125,215.45833333333331,0.9912711667710163,0.9626434057077841,1.0581018745706154,0.05810187457061544,calibration
1,1024,24,14,214.51041666666666,215.4375,1.00059480061658,0.9813345776948202,1.051085077779912,0.05810187457061544,inconclusive
1,4096,1,9,325.75,336.75,1.01792395681146,1.0029850746268656,1.08,0.08000000000000007,calibration
1,4096,1,14,349.25,256.5,0.9494332800993701,0.3832199546485261,0.9792452830188679,0.08000000000000007,inconclusive
1,4096,24,9,215.76041666666669,209.10416666666669,0.9852773980322879,0.960797405570393,1.0350959729017688,0.05,calibration
1,4096,24,14,219.71875,209.69791666666669,0.9785290188631455,0.9092064644997275,1.015065722952477,0.05,inconclusive
16,16,1,9,266.25,287.25,0.9840532783869307,0.9566037735849057,2.6767485822306236,1.6767485822306236,calibration
16,16,1,14,294.0,311.25,1.094715664963401,0.9144851657940664,1.1492537313432836,1.6767485822306236,inconclusive
16,16,24,9,199.41666666666666,193.64583333333334,0.9985964956022317,0.9271441746080541,1.021076557495609,0.0728558253919459,calibration
16,16,24,14,200.36458333333331,210.05208333333331,1.0205402894841553,0.9507891383197726,1.180830814018587,0.0728558253919459,inconclusive
64,64,1,9,377.25,376.0,1.003409329634997,0.9840425531914894,1.013840830449827,0.05,calibration
64,64,1,14,384.25,369.75,0.943912625600699,0.9270959902794653,3.13953488372093,0.05,inconclusive
64,64,24,9,282.6145833333333,283.0104166666667,0.9995948063570548,0.9987479746648993,1.0315797240463367,0.05,calibration
64,64,24,14,283.2604166666667,260.4479166666667,0.9212251158493687,0.9172002649591521,0.9223315333974407,0.05,faster
256,256,1,9,1048.25,1043.5,0.9967052161119285,0.9855351976856316,1.0043838285435946,0.05,calibration
256,256,1,14,1058.75,991.0,0.9288362765276192,0.9215033301617507,0.9396511079679396,0.05,faster
256,256,24,9,939.78125,941.4270833333333,1.0009754337829484,0.9967587651685839,1.0021727562965592,0.05,calibration
256,256,24,14,938.8854166666666,864.7916666666667,0.921084358300686,0.9185713333777571,0.9223234270771004,0.05,faster
1024,1024,1,9,4733.75,4708.0,0.9945622641798242,0.9897123661557842,1.000107353730542,0.05,calibration
1024,1024,1,14,4720.75,4392.5,0.9307113529540954,0.9291305267611593,0.9353816914792524,0.05,faster
1024,1024,24,9,4580.1875,4578.40625,0.998863825742815,0.9978161170561258,1.0023172069689201,0.05,calibration
1024,1024,24,14,4573.072916666666,4249.020833333333,0.9291689078228553,0.9274411195812948,0.9299578251453322,0.05,faster
4096,4096,1,9,32937.25,32976.25,1.0011792795049608,0.9982285610465116,1.0040604659650831,0.05,calibration
4096,4096,1,14,32894.75,31586.25,0.9605589951168827,0.9564203159792175,0.961950655944545,0.05,inconclusive
4096,4096,24,9,32783.26041666667,32778.958333333336,0.9999390122123406,0.9994936091183398,1.0001786210329127,0.05,calibration
4096,4096,24,14,32779.48958333333,31454.739583333332,0.9595732818795633,0.9591000875927617,0.9597943406817295,0.05,inconclusive
4,64,1,9,306.5,518.75,1.045462957251249,0.8797634691195795,2.6315789473684212,1.6315789473684212,calibration
4,64,1,14,724.75,725.0,1.000327868852459,0.9964028776978417,1.0006896551724138,1.6315789473684212,inconclusive
4,64,24,9,197.04166666666669,184.04166666666666,0.9342989972957435,0.8801861971260879,1.17380550871276,0.1738055087127599,calibration
4,64,24,14,189.38541666666666,189.48958333333334,0.9824490729121682,0.8285298663514865,1.3119276556776556,0.1738055087127599,inconclusive
16,256,1,9,329.75,331.5,1.0021577006871123,0.316247582205029,1.0807926829268293,0.683752417794971,calibration
16,256,1,14,328.75,351.25,1.065446449225075,0.7092198581560284,1.0796324655436447,0.683752417794971,inconclusive
16,256,24,9,246.63541666666669,248.53125,1.0040143618592918,0.9541905672402804,1.0849375211077341,0.08493752110773412,calibration
16,256,24,14,251.64583333333334,265.21875,1.055176490504929,0.9859013091641492,1.0711629479377958,0.08493752110773412,inconclusive
64,1024,1,9,762.0,764.25,0.9992859972783491,0.9946452476572959,1.5360360360360361,0.5360360360360361,calibration
64,1024,1,14,780.75,747.25,0.9637482139237314,0.9477707006369427,0.9665164198325821,0.5360360360360361,inconclusive
64,1024,24,9,681.59375,681.0208333333334,0.9991590995873664,0.9981560022127973,0.9999694703098765,0.05,calibration
64,1024,24,14,681.0833333333333,658.1145833333333,0.9662761486928784,0.9656361583300272,0.966604426214454,0.05,inconclusive
64,4096,1,9,1918.25,1915.75,0.9968802689140879,0.9960876369327074,1.0034004708344233,0.05,calibration
64,4096,1,14,1921.25,1915.75,0.9980549335721749,0.9901170351105332,1.00625,0.05,inconclusive
64,4096,24,9,1950.7083333333335,1950.1041666666665,1.00009099503864,0.9994553144224196,1.0004057401554625,0.05,calibration
64,4096,24,14,1949.8125,1927.53125,0.9886254369580758,0.9881080850063573,0.9890271916234842,0.05,inconclusive
