query_rows,rows,variant,stage,count,median_us,minimum_us,maximum_us
1,4096,3,RMSNorm,25,5.959,5.667,6.708
1,4096,3,Q projection,25,14.125,13.625,23.167
1,4096,3,K projection,25,9.583,9.125,13.25
1,4096,3,V projection,25,9.541,9.166,13.125
1,4096,3,Q RoPE,25,5.292,4.958,6.417
1,4096,3,K RoPE,25,5.208,5.0,5.542
1,4096,3,KV append,25,3.709,3.375,4.333
1,4096,3,QK,25,50.166,49.959,51.417
1,4096,3,softmax,25,1109.125,1093.375,1135.083
1,4096,3,PV,25,978.583,962.584,1372.125
1,4096,3,output projection,25,15.958,13.541,21.5
1,4096,3,residual,25,3.458,3.208,7.042
1,4096,4,RMSNorm,25,5.709,5.5,6.833
1,4096,4,Q projection,25,13.958,13.708,21.875
1,4096,4,K projection,25,9.625,9.208,13.459
1,4096,4,V projection,25,9.5,9.166,13.042
1,4096,4,Q RoPE,25,5.25,5.083,6.583
1,4096,4,K RoPE,25,5.25,4.917,7.083
1,4096,4,KV append,25,3.708,3.375,4.125
1,4096,4,QK,25,50.125,49.875,52.416
1,4096,4,softmax,25,1106.834,1101.75,1114.459
1,4096,4,PV,25,978.583,969.542,1383.375
1,4096,4,output projection,25,44.917,41.875,49.916
1,4096,4,residual,25,3.375,3.125,7.375
1024,1024,3,RMSNorm,10,23.479,22.583,26.5
1024,1024,3,Q projection,10,9810.375,9809.0,9811.167
1024,1024,3,K projection,10,1384.292,1383.708,1388.291
1024,1024,3,V projection,10,1381.1035,1380.792,1421.626
1024,1024,3,Q RoPE,10,129.52100000000002,129.125,129.834
1024,1024,3,K RoPE,10,20.854,20.708,21.083
1024,1024,3,KV append,10,22.3335,20.209,27.292
1024,1024,3,QK,10,8459.9165,8458.166,8462.208
1024,1024,3,softmax,10,655.9169999999999,648.625,735.166
1024,1024,3,PV,10,6487.104,6475.166,6491.875
1024,1024,3,output projection,10,9724.229500000001,9723.833,9729.459
1024,1024,3,residual,10,112.625,112.375,112.916
1024,1024,4,RMSNorm,10,23.708,22.625,26.042
1024,1024,4,Q projection,10,9810.4795,9809.333,9814.125
1024,1024,4,K projection,10,1384.125,1383.334,1386.625
1024,1024,4,V projection,10,1380.9795,1380.709,1383.416
1024,1024,4,Q RoPE,10,129.562,129.083,131.958
1024,1024,4,K RoPE,10,20.8545,20.708,28.625
1024,1024,4,KV append,10,22.3335,20.791,26.583
1024,1024,4,QK,10,8460.4375,8458.417,8462.875
1024,1024,4,softmax,10,662.3335,646.5,779.208
1024,1024,4,PV,10,6481.2919999999995,6473.083,6505.792
1024,1024,4,output projection,10,1088.854,1088.208,1090.75
1024,1024,4,residual,10,112.6665,112.375,114.416
4096,4096,3,RMSNorm,5,84.375,79.292,86.208
4096,4096,3,Q projection,5,41008.916,41007.959,41012.833
4096,4096,3,K projection,5,5768.0,5767.5,5769.041
4096,4096,3,V projection,5,5758.042,5757.792,5758.208
4096,4096,3,Q RoPE,5,556.958,556.625,557.333
4096,4096,3,K RoPE,5,83.917,83.625,84.375
4096,4096,3,KV append,5,75.709,75.5,75.834
4096,4096,3,QK,5,141050.333,141048.792,141053.083
4096,4096,3,softmax,5,13183.5,13132.583,13250.792
4096,4096,3,PV,5,99735.833,99734.209,99742.541
4096,4096,3,output projection,5,40667.333,40665.833,40667.791
4096,4096,3,residual,5,493.25,492.708,496.25
4096,4096,4,RMSNorm,5,85.5,79.708,86.625
4096,4096,4,Q projection,5,41009.291,41008.542,41010.792
4096,4096,4,K projection,5,5768.667,5763.958,5770.625
4096,4096,4,V projection,5,5758.417,5757.792,5760.084
4096,4096,4,Q RoPE,5,557.375,557.0,557.625
4096,4096,4,K RoPE,5,84.0,83.75,84.416
4096,4096,4,KV append,5,75.708,75.542,76.125
4096,4096,4,QK,5,141052.625,141051.084,141057.917
4096,4096,4,softmax,5,13162.417,13106.833,13250.25
4096,4096,4,PV,5,99736.5,99735.625,99740.291
4096,4096,4,output projection,5,4303.666,4301.125,4305.208
4096,4096,4,residual,5,492.416,492.291,493.209
64,4096,3,RMSNorm,10,6.5415,6.083,6.708
64,4096,3,Q projection,10,563.0625,562.541,564.334
64,4096,3,K projection,10,86.2495,83.75,87.208
64,4096,3,V projection,10,83.6455,83.208,84.5
64,4096,3,Q RoPE,10,11.146,10.917,11.375
64,4096,3,K RoPE,10,5.479,5.333,5.708
64,4096,3,KV append,10,4.8545,4.708,5.084
64,4096,3,QK,10,3086.563,3085.625,3089.458
64,4096,3,softmax,10,1307.479,1301.875,1417.0
64,4096,3,PV,10,3660.8959999999997,3584.541,3840.875
64,4096,3,output projection,10,559.4165,557.0,561.167
64,4096,3,residual,10,9.917,9.0,11.667
64,4096,4,RMSNorm,10,6.583,6.25,6.75
64,4096,4,Q projection,10,562.563,562.167,565.167
64,4096,4,K projection,10,85.9795,83.792,87.375
64,4096,4,V projection,10,83.958,83.292,84.166
64,4096,4,Q RoPE,10,11.0835,10.625,11.25
64,4096,4,K RoPE,10,5.479,5.333,5.875
64,4096,4,KV append,10,4.7915,4.583,5.041
64,4096,4,QK,10,3086.4165000000003,3085.375,3088.084
64,4096,4,softmax,10,1270.8755,1264.041,1278.0
64,4096,4,PV,10,3636.416,3586.208,3715.375
64,4096,4,output projection,10,89.938,88.166,91.0
64,4096,4,residual,10,8.9585,8.75,9.375
