query_rows,rows,variant,stage,count,median_us,minimum_us,maximum_us
1,64,3,RMSNorm,50,8.875,8.417,2058.959
1,64,3,Q projection,50,24.4795,23.208,77.625
1,64,3,K projection,50,14.292,13.833,40.459
1,64,3,V projection,50,14.375,13.833,40.875
1,64,3,Q RoPE,50,8.146,7.458,20.542
1,64,3,K RoPE,50,7.896,7.375,19.25
1,64,3,KV append,50,5.729,5.125,14.667
1,64,3,QK,50,17.2085,16.625,46.542
1,64,3,softmax,50,34.0205,33.375,792.833
1,64,3,PV,50,30.0835,28.916,78.375
1,64,3,output projection,50,23.8335,22.833,62.167
1,64,3,residual,50,5.1665,4.833,13.0
1,64,5,RMSNorm,50,20.583,11.667,28.667
1,64,5,Q projection,50,62.1875,34.417,65.125
1,64,5,K projection,50,35.1255,19.875,2113.541
1,64,5,V projection,50,35.229,20.041,44.292
1,64,5,Q RoPE,50,19.146,10.666,21.625
1,64,5,K RoPE,50,18.2085,10.333,19.625
1,64,5,KV append,50,12.6875,7.375,14.041
1,64,5,GQA G32,50,24.042,13.292,24.917
1,64,5,output projection,50,61.1875,33.542,62.958
1,64,5,residual,50,12.1045,6.875,13.625
1,64,6,RMSNorm,50,8.9375,8.125,161.125
1,64,6,Q projection,50,24.229,23.25,64.25
1,64,6,K projection,50,15.0205,14.25,36.75
1,64,6,V projection,50,14.354,13.792,788.875
1,64,6,Q RoPE,50,8.0625,7.583,20.875
1,64,6,K RoPE,50,7.896,7.25,19.167
1,64,6,KV append,50,5.729,5.25,13.875
1,64,6,GQA split,50,8.792,8.25,22.625
1,64,6,GQA merge,50,16.0,15.333,85.417
1,64,6,output projection,50,23.9585,22.458,303.875
1,64,6,residual,50,5.146,4.75,160.959
1,4096,3,RMSNorm,50,6.292,5.541,9.083
1,4096,3,Q projection,50,15.146,13.833,23.833
1,4096,3,K projection,50,11.042,10.0,14.25
1,4096,3,V projection,50,10.604,9.208,14.25
1,4096,3,Q RoPE,50,5.646,4.917,7.291
1,4096,3,K RoPE,50,5.458,4.833,5.833
1,4096,3,KV append,50,3.979,3.458,4.917
1,4096,3,QK,50,50.375,49.875,51.959
1,4096,3,softmax,50,1108.9585000000002,1100.708,1573.459
1,4096,3,PV,50,1002.8125,966.375,1795.292
1,4096,3,output projection,50,15.271,13.667,22.458
1,4096,3,residual,50,3.8125,3.167,4.416
1,4096,5,RMSNorm,50,8.3335,7.208,9.5
1,4096,5,Q projection,50,23.604,20.334,27.084
1,4096,5,K projection,50,14.791,13.083,17.0
1,4096,5,V projection,50,13.959,12.292,17.0
1,4096,5,Q RoPE,50,7.6875,6.667,9.458
1,4096,5,K RoPE,50,7.417,6.542,8.083
1,4096,5,KV append,50,5.333,4.666,6.042
1,4096,5,GQA G32,50,111.0625,97.458,120.542
1,4096,5,output projection,50,23.146,20.125,767.0
1,4096,5,residual,50,4.875,4.208,8.458
1,4096,6,RMSNorm,50,12.542,12.208,22.25
1,4096,6,Q projection,50,35.1455,33.958,67.667
1,4096,6,K projection,50,21.708,21.042,2033.709
1,4096,6,V projection,50,21.292,20.667,37.333
1,4096,6,Q RoPE,50,11.042,10.666,19.834
1,4096,6,K RoPE,50,10.6455,10.25,19.208
1,4096,6,KV append,50,7.5835,7.25,13.625
1,4096,6,GQA split,50,71.5005,70.125,129.0
1,4096,6,GQA merge,50,23.604,22.708,41.833
1,4096,6,output projection,50,34.8125,32.042,63.917
1,4096,6,residual,50,7.167,6.875,12.709
