query_rows,rows,layers,candidate,control_us,candidate_us,ratio,ratio_min,ratio_max,noise_floor,decision
1,1,1,3,489.0,486.75,0.9969325121303776,0.9737108190091001,1.0252897787144362,0.05,calibration
1,1,1,5,476.5,414.75,0.8638259960363704,0.8591248665955176,0.873269435569755,0.05,faster
1,1,1,6,417.5,297.0,0.8260386455233719,0.6567328918322296,0.9599589322381931,0.05,faster
1,1,24,3,317.30208333333337,308.6875,0.990731678933262,0.9550390676731557,1.0255530129672006,0.05,calibration
1,1,24,5,290.0208333333333,249.14583333333334,0.8572632037496718,0.7697233606557377,0.8988212180746563,0.05,faster
1,1,24,6,299.9270833333333,278.48958333333337,0.9269320882899375,0.8795863250115277,1.0153549542105627,0.05,inconclusive
1,16,1,3,325.5,423.75,1.0089844334680436,0.8887171561051005,2.052123552123552,1.0521235521235521,calibration
1,16,1,5,409.5,412.25,0.8345841784989858,0.6165644171779141,1.8858447488584476,1.0521235521235521,inconclusive
1,16,1,6,422.75,313.5,0.8990105321106234,0.6325536062378168,0.9181818181818182,1.0521235521235521,inconclusive
1,16,24,3,289.41666666666663,291.6145833333333,1.0554914543622083,0.9350949744164857,1.195936664015617,0.19593666401561705,calibration
1,16,24,5,273.375,248.94791666666669,0.8947716917491102,0.8258588120058771,0.9316421084611879,0.19593666401561705,inconclusive
1,16,24,6,269.15625,260.28125,0.9377750541386414,0.897241266731962,1.0032645004555116,0.19593666401561705,inconclusive
1,64,1,3,271.25,445.0,1.0403560689227245,0.9842845326716294,2.6381156316916488,1.6381156316916488,calibration
1,64,1,5,323.5,252.0,0.8540786503553308,0.6820276497695853,1.236842105263158,1.6381156316916488,inconclusive
1,64,1,6,309.25,230.25,0.828947999041457,0.3765923566878981,0.8848614072494669,1.6381156316916488,inconclusive
1,64,24,3,307.10416666666663,321.375,1.0085394929946223,0.9504403920109168,1.1479154346540508,0.14791543465405077,calibration
1,64,24,5,307.65625,260.46875,0.8327340427728454,0.801274548055664,0.8958818958818957,0.14791543465405077,faster
1,64,24,6,319.9895833333333,285.11458333333337,0.9188763854332096,0.7464099426878744,0.9319947333772219,0.14791543465405077,inconclusive
1,256,1,3,481.0,413.25,0.9242628685657172,0.537774167343623,0.953187250996016,0.46222583265637696,calibration
1,256,1,5,347.5,200.0,0.5743906367443359,0.5043956043956044,0.5784172661870504,0.46222583265637696,inconclusive
1,256,1,6,433.25,228.25,0.5434896561858016,0.25449247207382225,0.6171516079632465,0.46222583265637696,inconclusive
1,256,24,3,302.55208333333337,326.45833333333337,1.0630539814052722,1.0059566019004396,1.0948988507292154,0.09489885072921544,calibration
1,256,24,5,321.51041666666663,251.57291666666666,0.7583800815918834,0.7361612515042117,0.7961183828744601,0.09489885072921544,faster
1,256,24,6,319.5,299.3645833333333,0.9403819016589272,0.7894327894327893,1.042879417879418,0.09489885072921544,inconclusive
1,1024,1,3,735.25,754.0,1.024370317398282,0.9930939226519337,1.0535833891493638,0.05358338914936378,calibration
1,1024,1,5,768.25,256.0,0.3325593938670396,0.2863877430760165,0.37058823529411766,0.05358338914936378,faster
1,1024,1,6,749.75,252.5,0.31346476163815223,0.24543795620437955,0.3654485049833887,0.05358338914936378,faster
1,1024,24,3,759.2291666666667,764.6354166666667,1.0043793573296118,0.9978210464564071,1.0116029103737183,0.05,calibration
1,1024,24,5,760.8645833333333,263.45833333333337,0.3459612640572256,0.3127782911870957,0.47552103276626007,0.05,faster
1,1024,24,6,763.1145833333334,291.03125,0.38578397469688314,0.32084583901773533,0.41549732015405755,0.05,faster
1,4096,1,3,2468.0,2473.5,1.0005064334905598,0.995049504950495,1.0139699749791493,0.05,calibration
1,4096,1,5,2473.25,274.75,0.11210395721099049,0.10814070351758794,0.11476066493090327,0.05,faster
1,4096,1,6,2492.0,274.5,0.11034423527913986,0.10400647511129098,0.12156784719458814,0.05,faster
1,4096,24,3,2699.0416666666665,2698.885416666667,1.0022934990371137,0.9560093854615018,1.010454067104123,0.05,calibration
1,4096,24,5,2680.6354166666665,250.47916666666666,0.0933259609750709,0.08673669665708857,0.09622548566854468,0.05,faster
1,4096,24,6,2693.864583333333,283.875,0.1053409309142217,0.09887382788571784,0.12287786887744219,0.05,faster
