query_rows,rows,variant,stage,count,median_us,minimum_us,maximum_us
1024,1024,4,RMSNorm,25,30.917,23.583,541.167
1024,1024,4,Q projection,25,11987.915,11320.793,12558.585
1024,1024,4,K projection,25,1684.834,1381.0,1875.167
1024,1024,4,V projection,25,1682.625,1381.083,1884.5
1024,1024,4,Q RoPE,25,140.916,129.167,197.834
1024,1024,4,K RoPE,25,29.25,20.875,441.583
1024,1024,4,KV append,25,27.083,20.042,30.583
1024,1024,4,QK,25,9332.626,8898.584,9910.626
1024,1024,4,softmax,25,974.416,668.125,1285.959
1024,1024,4,PV,25,6712.792,6530.417,7389.791
1024,1024,4,output projection,25,1121.375,1096.375,1652.333
1024,1024,4,residual,25,130.0,120.209,181.584
1024,1024,7,RMSNorm,25,30.417,23.5,72.167
1024,1024,7,Q projection,25,10789.917,10012.5,11544.499
1024,1024,7,K projection,25,1573.625,1381.25,2020.583
1024,1024,7,V projection,25,1568.541,1380.541,2053.542
1024,1024,7,Q RoPE,25,138.209,129.333,197.041
1024,1024,7,K RoPE,25,25.291,20.834,53.333
1024,1024,7,KV append,25,26.208,20.5,52.292
1024,1024,7,GQA FP32 MMA,25,1721.75,1550.75,1967.0
1024,1024,7,output projection,25,1095.667,1085.375,1209.791
1024,1024,7,residual,25,124.959,112.666,150.625
4096,4096,4,RMSNorm,10,115.1245,97.084,143.791
4096,4096,4,Q projection,10,48271.211,47741.499,48797.585
4096,4096,4,K projection,10,7011.6245,6630.71,7179.999
4096,4096,4,V projection,10,6962.375,6148.001,7049.417
4096,4096,4,Q RoPE,10,626.8535,572.875,686.5
4096,4096,4,K RoPE,10,90.7085,79.708,99.084
4096,4096,4,KV append,10,89.6665,76.458,113.959
4096,4096,4,QK,10,153314.812,152893.919,154394.452
4096,4096,4,softmax,10,14562.1255,13953.125,15077.083
4096,4096,4,PV,10,101762.062,100195.834,102552.666
4096,4096,4,output projection,10,4457.8325,4406.084,4509.874
4096,4096,4,residual,10,533.5,502.667,573.333
4096,4096,7,RMSNorm,10,105.646,87.625,334.084
4096,4096,7,Q projection,10,46004.937999999995,45043.542,47026.75
4096,4096,7,K projection,10,6421.853499999999,5775.0,7131.209
4096,4096,7,V projection,10,6434.978999999999,5761.125,6991.0
4096,4096,7,Q RoPE,10,584.3335,556.916,649.834
4096,4096,7,K RoPE,10,88.979,84.042,106.292
4096,4096,7,KV append,10,79.708,75.791,97.834
4096,4096,7,GQA FP32 MMA,10,22529.146,21815.958,23267.001
4096,4096,7,output projection,10,4646.0419999999995,4376.583,5210.291
4096,4096,7,residual,10,538.6875,503.083,667.0
64,4096,4,RMSNorm,25,7.166,6.708,37.042
64,4096,4,Q projection,25,565.708,562.833,590.25
64,4096,4,K projection,25,84.25,83.375,103.459
64,4096,4,V projection,25,84.25,83.417,98.916
64,4096,4,Q RoPE,25,11.417,11.0,19.125
64,4096,4,K RoPE,25,5.75,5.292,14.0
64,4096,4,KV append,25,5.042,4.708,12.708
64,4096,4,QK,25,3096.084,3086.291,3352.291
64,4096,4,softmax,25,1698.916,1323.5,2238.208
64,4096,4,PV,25,3995.166,3682.292,5125.0
64,4096,4,output projection,25,88.667,87.0,105.875
64,4096,4,residual,25,9.5,9.0,34.542
64,4096,7,RMSNorm,25,6.959,5.917,10.625
64,4096,7,Q projection,25,645.917,562.417,803.792
64,4096,7,K projection,25,95.584,83.5,126.541
64,4096,7,V projection,25,95.875,83.583,166.375
64,4096,7,Q RoPE,25,12.542,10.75,49.25
64,4096,7,K RoPE,25,6.083,5.583,13.417
64,4096,7,KV append,25,5.375,4.334,11.542
64,4096,7,GQA FP32 MMA,25,1785.5,1502.75,2799.293
64,4096,7,output projection,25,100.042,86.583,176.501
64,4096,7,residual,25,9.875,8.708,17.708
