query_rows,rows,layers,candidate,control_us,candidate_us,ratio,ratio_min,ratio_max,noise_floor,decision
16,256,1,13,561.0,341.0,0.7191843244474824,0.4664615384615385,0.9927272727272727,0.5335384615384615,calibration
16,256,1,19,352.0,395.25,1.136023108898335,1.1154285714285714,1.177734375,0.5335384615384615,inconclusive
16,256,24,13,244.40625,246.71875000000003,1.012728452792268,0.8389515945761686,1.2069851963478413,0.2069851963478413,calibration
16,256,24,19,235.03125,263.59375,1.106360016455306,1.044109638772917,1.171277757553695,0.2069851963478413,inconclusive
16,1024,1,13,350.0,350.25,1.0064285714285715,0.950354609929078,1.0188679245283019,0.05,calibration
16,1024,1,19,357.75,394.75,1.0828327254523349,1.0587392550143266,1.1106500691562933,0.05,slower
16,1024,24,13,277.0,282.25,1.0430949723986043,0.9663421628556337,1.0575648702594809,0.05756487025948087,calibration
16,1024,24,19,290.60416666666663,299.625,1.0372311006750894,0.9393840319100241,1.117981733792484,0.05756487025948087,inconclusive
16,4096,1,13,665.5,660.5,0.9929054832848181,0.9878511769172361,0.9992565055762082,0.05,calibration
16,4096,1,19,669.0,704.0,1.0556678313182348,1.0490706319702603,1.0660091047040972,0.05,slower
16,4096,24,13,592.5729166666667,593.0520833333333,1.001197116490887,0.9969849950918523,1.0054470059038514,0.05,calibration
16,4096,24,19,593.8229166666666,625.5520833333334,1.0529891671486917,1.0523999013980347,1.0535908310259017,0.05,slower
64,1024,1,13,580.75,583.25,1.0034286136074255,0.9734816082121471,1.0199306759098787,0.05,calibration
64,1024,1,19,571.5,533.75,0.9250353644848317,0.9139240506329114,0.9379912663755459,0.05,faster
64,1024,24,13,488.0416666666667,488.28125,1.0010259317979706,0.9953133654296793,1.00552959835398,0.05,calibration
64,1024,24,19,488.71875,442.34375,0.9051092704315669,0.9020067317114738,0.9164310802707102,0.05,faster
64,4096,1,13,1152.75,1154.75,1.0017387463116076,0.9875161429186397,1.010439321444106,0.05,calibration
64,4096,1,19,1158.75,1108.75,0.9553382676641085,0.9463288965221125,0.9683708838821491,0.05,inconclusive
64,4096,24,13,1053.90625,1052.0520833333335,0.999118109376596,0.9978100893720285,1.0015748651521714,0.05,calibration
64,4096,24,19,1054.7708333333333,1009.1979166666666,0.9578799977876045,0.9528454323323086,0.9599833676540473,0.05,inconclusive
256,1024,1,13,1572.5,1576.0,1.0038247945430085,0.9984126984126984,1.0060509554140127,0.05,calibration
256,1024,1,19,1577.5,1401.0,0.8872772947118527,0.8844458438287154,0.8950363578880809,0.05,faster
256,1024,24,13,1501.2083333333333,1502.2604166666667,0.9994671135636339,0.9981958476740315,1.0017073136876589,0.05,calibration
256,1024,24,19,1505.0833333333333,1327.3229166666667,0.8823120394659003,0.8801726642593284,0.9276821448849867,0.05,faster
256,4096,1,13,3574.75,3578.75,0.9987935843417097,0.993446737311768,1.0081678636811717,0.05,calibration
256,4096,1,19,3595.75,3401.25,0.9517060657514482,0.9299116997792495,0.96817864619679,0.05,inconclusive
256,4096,24,13,3551.28125,3555.6770833333335,1.0020256498618956,0.9996311108248479,1.0028505936287762,0.05,calibration
256,4096,24,19,3553.927083333333,3374.9270833333335,0.9492314300804668,0.9398761918161058,0.9502845743120344,0.05,faster
