query_rows,rows,layers,candidate,control_us,candidate_us,ratio,ratio_min,ratio_max,noise_floor,decision
1,64,1,3,602.0,394.75,0.8113710314198084,0.6214642262895175,1.0,0.3785357737104825,calibration
1,64,1,4,469.0,300.5,0.80995211786372,0.44928684627575277,1.2140575079872205,0.3785357737104825,inconclusive
1,64,24,3,313.86458333333337,322.35416666666663,1.0276014738921355,0.9654100491719888,1.0540398740818466,0.05403987408184663,calibration
1,64,24,4,315.76041666666663,304.6770833333333,0.9985990617139784,0.8971901416835335,1.0522196404549347,0.05403987408184663,inconclusive
1,4096,1,3,2481.0,2490.25,1.0018044102942492,0.9854179502978024,1.0107287449392712,0.05,calibration
1,4096,1,4,2753.5,2650.75,0.9842104863993627,0.8613233620549504,1.0669750603378922,0.05,inconclusive
1,4096,24,3,2721.197916666667,2717.322916666667,0.9977609456004765,0.9943510176588106,1.0048352999961563,0.05,calibration
1,4096,24,4,2714.0104166666665,2752.4479166666665,1.0140099619413607,1.0121052187454453,1.0161043357827104,0.05,inconclusive
256,256,1,3,6820.0,6824.25,1.0007253281139814,0.9729405115161792,1.0172237629543133,0.05,calibration
256,256,1,4,7034.75,4637.25,0.6744745884944583,0.6498139175619689,0.6890750387160355,0.05,faster
256,256,24,3,6790.75,6788.75,1.0002078755346129,0.999009712786049,1.00084766845107,0.05,calibration
256,256,24,4,6797.541666666666,4685.104166666666,0.6893762020819556,0.6814004509720275,0.6931226013708205,0.05,faster
1024,1024,1,3,39818.25,39830.5,1.000599955694791,0.994679652487419,1.0081634193280589,0.05,calibration
1024,1024,1,4,40123.75,31230.75,0.7781102964309771,0.7744091461448801,0.7810312062412482,0.05,faster
1024,1024,24,3,39774.32291666667,39783.833333333336,1.000667066888022,0.9994800018014038,1.004762373730268,0.05,calibration
1024,1024,24,4,39789.927083333336,30840.5,0.7748263852425628,0.7719761419758779,0.7757883619172157,0.05,faster
64,4096,1,3,10181.5,10085.75,0.989062750865831,0.9583214928483471,1.004654847974646,0.05,calibration
64,4096,1,4,10138.5,9590.5,0.9380274406258182,0.9275929549902152,0.9791508910091372,0.05,faster
64,4096,24,3,9956.208333333332,9955.1875,1.0012483234443113,0.998678736437188,1.0026909154612547,0.05,calibration
64,4096,24,4,9970.822916666668,9478.041666666666,0.9498786124246255,0.9466357685566371,0.9535469539157951,0.05,faster
