query_rows,rows,layers,candidate,control_us,candidate_us,ratio,ratio_min,ratio_max,noise_floor,decision
16,16,1,20,2684.5,2696.75,1.0045647438478782,0.975258493353028,1.0121472621939824,0.05,calibration
16,16,1,22,2691.0,1932.0,0.7286186877226052,0.7130193905817175,0.7394926865395297,0.05,faster
256,256,1,20,40816.5,40821.75,1.0000061041083173,0.9999020244204132,1.000208269525268,0.05,calibration
256,256,1,22,40811.0,26189.75,0.6416147108553198,0.6413335130300543,0.6421351824853289,0.05,faster
4096,4096,1,20,772019.25,772037.75,1.0000362694900453,0.9999663239044583,1.0001230550023477,0.05,calibration
4096,4096,1,22,771993.5,512156.25,0.6634204159718124,0.6630098784445514,0.6639342351048367,0.05,faster
16,256,1,20,2703.0,2735.5,1.0179545605961544,0.9896570495372891,1.0214366303121474,0.05,calibration
16,256,1,22,2704.75,2058.5,0.7610792886476505,0.7462330025725836,0.7783804002244249,0.05,faster
64,4096,1,20,12457.0,12456.5,0.9999598490362428,0.9991173166425935,1.0037051953282319,0.05,calibration
64,4096,1,22,12459.25,9339.25,0.7495535253178089,0.7423512406649,0.7498595618329187,0.05,faster
1,256,1,20,460.5,475.0,1.0438845195677993,0.9539748953974896,1.12981298129813,0.1298129812981299,calibration
1,4096,1,20,475.25,479.5,1.0036731499765343,0.9958634953464323,1.009493670886076,0.05,calibration
