query_rows,rows,layers,candidate,control_us,candidate_us,ratio,ratio_min,ratio_max,noise_floor,decision
16,16,1,0,815.0,810.25,0.9960160291110309,0.9932515337423313,1.0050188205771644,0.05,calibration
16,16,1,21,812.5,816.75,1.0070757289318695,0.998165137614679,1.018057285180573,0.05,inconclusive
16,16,1,22,809.0,1930.75,2.369764668043573,2.3347799132052076,2.464576802507837,0.05,slower
16,16,24,0,686.8854166666666,686.71875,0.9999842709442299,0.9040857962064403,1.0905528554070476,0.09591420379355975,calibration
16,16,24,21,683.5520833333334,682.875,0.9998153405306565,0.9852225626238962,1.0014063837593248,0.09591420379355975,inconclusive
16,16,24,22,689.5729166666666,1769.40625,2.5661342885500575,2.5392083858403023,2.594175410688611,0.09591420379355975,slower
256,256,1,0,4562.25,4578.5,0.9999627584043114,0.9974680757375606,1.005136612021858,0.05,calibration
256,256,1,21,4572.75,4977.75,1.0920930053275972,1.079309591435438,1.0974804708988888,0.05,slower
256,256,1,22,4586.25,26255.75,5.746251570985907,5.714799476896251,6.079704636768379,0.05,slower
256,256,24,0,4391.09375,4389.4375,0.9993474632058968,0.9888854358993105,0.9997106618728239,0.05,calibration
256,256,24,21,4391.927083333333,4797.697916666667,1.0924138132536552,1.0922673395531062,1.112498305607621,0.05,slower
256,256,24,22,4388.65625,25808.375,5.88176225392881,5.864961719376687,5.932243870624007,0.05,slower
16,256,1,0,925.25,923.5,0.9964789979968253,0.9925492283129325,0.9983766233766234,0.05,calibration
16,256,1,21,918.5,873.25,0.9497887330585606,0.9375678610206297,0.9573537452159651,0.05,faster
16,256,1,22,925.5,2038.25,2.207032554305822,2.1108151305274374,2.238562091503268,0.05,slower
16,256,24,0,778.8020833333334,776.46875,0.9979838989694443,0.9919331142986884,1.0055404642155938,0.05,calibration
16,256,24,21,776.1145833333334,719.0520833333334,0.9281273709754082,0.9255430550707515,1.0161396487717544,0.05,inconclusive
16,256,24,22,775.0104166666666,1810.34375,2.340616775399116,2.3266144183799455,2.360923438111387,0.05,slower
1,256,1,0,468.25,441.0,0.9187763908223531,0.8948919449901768,0.9552715654952076,0.10510805500982323,calibration
1,256,1,21,468.5,700.75,1.5064748567437944,1.4904255319148936,1.9990421455938698,0.10510805500982323,slower
1,256,1,22,407.25,455.75,1.0196870361207324,1.0064516129032257,1.2249674902470742,0.10510805500982323,inconclusive
1,256,24,0,519.8541666666667,520.4479166666667,0.9754207644852351,0.8984645223856474,1.008331672314132,0.10153547761435255,calibration
1,256,24,21,494.98958333333337,579.4479166666667,1.1706315878907292,1.116245545188804,1.2808667588750577,0.10153547761435255,slower
1,256,24,22,467.6875,468.4895833333333,0.9861880992550541,0.9266649278386366,1.1949392527633143,0.10153547761435255,inconclusive
1,4096,1,0,462.5,460.0,0.9908475297329643,0.9248496993987976,1.0076923076923077,0.07515030060120242,calibration
1,4096,1,21,465.25,767.0,1.6487090373162945,1.616118769883351,1.715224534501643,0.07515030060120242,slower
1,4096,1,22,460.25,462.5,1.0022708240153022,0.9967532467532467,1.019629225736096,0.07515030060120242,inconclusive
1,4096,24,0,464.08333333333337,485.78125,1.0080749137994056,0.928580829129195,1.254493406541837,0.25449340654183694,calibration
1,4096,24,21,492.9166666666667,633.6770833333334,1.292154712281914,1.2021556980449235,1.4648405362241688,0.25449340654183694,slower
1,4096,24,22,474.98958333333337,499.40625,1.1020484494778942,0.9430904737472209,1.190356129845572,0.25449340654183694,inconclusive
