query_rows,rows,layers,candidate,control_us,candidate_us,ratio,ratio_min,ratio_max,noise_floor,decision
16,16,1,20,2666.75,2666.5,1.001697862280169,0.9675384900760526,1.026535253980288,0.05,calibration
16,16,24,20,2495.0,2500.09375,1.0021322862476107,1.0008901608112941,1.006098125141939,0.05,calibration
256,256,1,20,41282.25,41653.5,1.009088112054799,0.9998075581535205,1.0333017100878152,0.05,calibration
256,256,24,20,41244.75,41242.73958333333,0.9982283138692132,0.9959435914605467,1.0000439698397223,0.05,calibration
4096,4096,1,20,792117.5,781947.25,0.9936672313934094,0.9639860645959881,1.0002620977279324,0.05,calibration
4096,4096,24,20,793922.1354166667,790734.6875,0.9944106254294809,0.9790659512526019,1.012318442050171,0.05,calibration
16,256,1,20,2683.75,2675.25,1.00412231255584,0.9840326773115484,1.0186862967157417,0.05,calibration
16,256,24,20,2538.302083333333,2513.2395833333335,0.9995939429825775,0.9534330951158841,1.0088263261839552,0.05,calibration
64,4096,1,20,12556.5,12431.0,0.9914688850618234,0.9557542588452941,1.0149146307329362,0.05,calibration
64,4096,24,20,12407.03125,12371.25,1.000605484497297,0.9929873260528141,1.0077446025583847,0.05,calibration
1,256,1,20,480.75,494.25,1.036968796172518,0.9680957128614157,1.074973600844773,0.074973600844773,calibration
1,256,24,20,609.59375,570.15625,1.009675776939603,0.8859768194632975,1.1811195760185493,0.18111957601854933,calibration
1,4096,1,20,478.0,486.5,1.0178416875746092,0.9925690021231423,1.1133603238866396,0.11336032388663964,calibration
1,4096,24,20,489.80208333333337,606.2083333333333,1.1441005798400317,0.974315860271554,1.292914944903581,0.29291494490358105,calibration
