query_rows,rows,layers,candidate,control_us,candidate_us,ratio,ratio_min,ratio_max,noise_floor,decision
16,16,1,0,812.25,812.5,0.9961187167891079,0.8153692614770459,1.0118527760449159,0.18463073852295409,calibration
16,16,24,0,738.6458333333334,690.25,0.9543661870514378,0.852668272927667,1.0087515264290283,0.147331727072333,calibration
64,64,1,0,1433.75,1396.5,0.9801235181459239,0.947654656696125,1.0043072505384063,0.05234534330387497,calibration
64,64,24,0,1270.2708333333335,1278.1145833333333,1.0091083027595447,0.9958595181984812,1.0370411409937792,0.05,calibration
256,256,1,0,4556.25,4568.25,1.0035694278105052,0.9994513332601778,1.009433962264151,0.05,calibration
256,256,24,0,4408.479166666667,4469.375,1.007462323492135,0.9982026159289012,1.015419897862682,0.05,calibration
1024,1024,1,0,18371.0,18104.5,0.9897135786927558,0.9828727341491748,0.9968427174786053,0.05,calibration
1024,1024,24,0,18258.125,17990.6875,0.9989594927505507,0.9743807673627974,1.0912618342232403,0.0912618342232403,calibration
4096,4096,1,0,88109.75,88202.0,0.9910310231700683,0.9546534560480842,1.0160803322497427,0.05,calibration
4096,4096,24,0,88197.32291666666,87673.75,0.9756942553869403,0.9508689159622699,1.037705093598865,0.05,calibration
257,257,1,0,4779.0,4790.75,0.9995816772535364,0.9784070075371766,1.018561731014001,0.05,calibration
257,257,24,0,4649.739583333334,4634.010416666666,0.9989960967534482,0.9943913530028241,1.003786840077826,0.05,calibration
1023,1023,1,0,18307.75,18296.25,0.9941610608546967,0.990816215628736,1.0080160320641283,0.05,calibration
1023,1023,24,0,18114.770833333336,18015.302083333336,1.000873134395668,0.9742909279377059,1.0119579789147202,0.05,calibration
