query_rows,rows,layers,candidate,control_us,candidate_us,ratio,ratio_min,ratio_max,noise_floor,decision
16,16,1,0,814.0,824.5,0.9899161804073825,0.949517867271696,1.238244514106583,0.23824451410658298,calibration
16,16,1,1,803.0,847.0,1.0512858959034639,1.0260545905707197,1.0625,0.23824451410658298,inconclusive
16,16,24,0,687.75,694.3645833333333,1.0106293591436386,0.9940995845625865,1.1740820603152429,0.17408206031524287,calibration
16,16,24,1,687.46875,718.2708333333334,1.0465061177905035,1.0392659885914346,1.0551734585668837,0.17408206031524287,inconclusive
64,64,1,0,1388.0,1386.0,0.9985590778097982,0.9971212666426772,1.0036036036036036,0.05,calibration
64,64,1,1,1386.5,1344.5,0.9693647254579599,0.96218941303565,0.9865942028985507,0.05,inconclusive
64,64,24,0,1271.9166666666665,1266.75,1.001466891067611,0.9886091420190662,1.0042397064818591,0.05,calibration
64,64,24,1,1266.5,1224.46875,0.9675997456532763,0.9662022279911932,0.9805371995923333,0.05,inconclusive
256,256,1,0,4580.5,4555.0,0.9989615986848291,0.9755569976205927,1.2088869527336092,0.20888695273360924,calibration
256,256,1,1,4569.0,4381.0,0.9594642782572198,0.9476933073424302,0.9668100121292315,0.20888695273360924,inconclusive
256,256,24,0,4391.072916666667,4401.8125,1.0023886052098692,1.0008966737673108,1.003487312823822,0.05,calibration
256,256,24,1,4403.71875,4227.635416666666,0.959338608562325,0.9589114345743974,0.9611177063183136,0.05,inconclusive
1024,1024,1,0,18123.75,18047.25,0.9942888601146995,0.9917498444642809,0.9986737766971514,0.05,calibration
1024,1024,1,1,18043.75,17308.0,0.9594481733439839,0.9554655870445344,0.9619314710945743,0.05,inconclusive
1024,1024,24,0,18002.739583333336,17876.177083333336,0.9922797772142298,0.9830136823087737,0.9984073693461611,0.05,calibration
1024,1024,24,1,17876.822916666668,17159.552083333332,0.9600619306094456,0.9569804986653301,0.975913397111376,0.05,inconclusive
4096,4096,1,0,85964.5,85798.75,0.9987745168614333,0.9960545630718708,1.0003557618844883,0.05,calibration
4096,4096,1,1,85877.75,82927.0,0.9648961391584532,0.9632987533780839,0.9699984218924432,0.05,inconclusive
4096,4096,24,0,85810.64583333334,86698.71875,1.008623009204082,0.9977742051554798,1.0217272640769948,0.05,calibration
4096,4096,24,1,86264.30208333334,85224.21875,0.9839854290051642,0.9675399426518398,0.9929003027327276,0.05,inconclusive
