query_rows,rows,layers,candidate,control_us,candidate_us,ratio,ratio_min,ratio_max,noise_floor,decision,fast,deterministic
16,16,1,22,814.5,1958.0,2.3891755617315935,1.803644646924829,2.4283942963422196,0.05,slower,0,22
256,256,1,22,4568.25,26208.75,5.737159720761381,5.7138649503654415,5.770127584689837,0.05,slower,0,22
4096,4096,1,22,85664.0,512050.25,5.9789798554987055,5.972599461910626,5.9828438669305175,0.05,slower,0,22
1,256,1,20,469.25,468.75,0.9811311876529267,0.96,1.0593311758360302,0.18137651821862344,inconclusive,0,20
1,4096,1,20,462.5,481.5,1.0432681520239466,1.023454157782516,1.053376906318083,0.05,inconclusive,0,20
64,4096,1,22,2089.75,9350.75,4.477021176914604,4.463117689185963,4.479645593869732,0.05,slower,3,22
16,256,1,22,878.5,2057.5,2.3421068316929183,2.3244469653998867,2.385231825987407,0.05,slower,21,22
16,16,24,22,816.0729166666667,1770.2708333333333,2.1683365176200913,2.1640041784504063,2.177870574371061,0.19321466605811666,slower,0,22
256,256,24,22,4396.385416666666,25623.822916666668,5.8273253897173465,5.822339885949403,5.8317081379859586,0.05,slower,0,22
4096,4096,24,22,85405.72916666666,507787.6875,5.94519750025604,5.944458457642872,5.947782520663436,0.05,slower,0,22
16,256,24,22,781.9583333333334,1807.40625,2.313964930205109,2.1195514073494914,2.340847512734366,0.07063276294045506,slower,0,22
1,256,24,20,436.7604166666667,464.0104166666667,1.0684580564282835,0.9981086192920832,1.0893672199170126,0.2306628419219341,inconclusive,0,20
1,4096,24,20,453.9375,452.64583333333337,0.9702679729586532,0.7891176363037993,1.1620365743979215,0.17389710375168033,inconclusive,0,20
64,4096,24,22,1952.46875,9035.791666666666,4.62868595419595,4.6225268633805205,4.632063790269208,0.05,slower,3,22
