query_rows,rows,stage,count,median_us,mean_us,active_share_percent
256,256,attention RMSNorm,25,10.125,10.08844,0.23124411674656004
256,256,packed QKV projection,25,358.875,359.53832,8.241226715423005
256,256,QKV unpack,25,32.833,32.91,0.7543528912427779
256,256,Q RoPE,25,32.958,33.0066,0.7565671267120594
256,256,K RoPE,25,8.334,8.35648,0.19154466267433756
256,256,KV append,25,7.792,7.8034,0.178867133136551
256,256,FP32 GQA,25,165.416,165.9766,3.804464542347191
256,256,output projection,25,282.042,282.29664,6.470716699244048
256,256,attention residual,25,23.75,24.0016,0.550157288193639
256,256,MLP RMSNorm,25,9.458,9.50676,0.2179110268110359
256,256,gate projection,25,1027.167,1026.03328,23.518419060446995
256,256,up projection,25,1029.458,1028.77508,23.581265756199336
256,256,SiLU,25,125.791,126.6116,2.902152127768888
256,256,multiply,25,118.125,118.26828,2.7109091145642785
256,256,down projection,25,1104.459,1104.87828,25.325679884209894
256,256,MLP residual,25,24.042,24.62828,0.5645218542794495
64,4096,attention RMSNorm,25,7.625,7.64832,0.25625931757487563
64,4096,packed QKV projection,25,103.834,103.86832,3.4801400570123646
64,4096,QKV unpack,25,10.792,10.80328,0.36196722422313693
64,4096,Q RoPE,25,11.583,11.59824,0.3886026039012
64,4096,K RoPE,25,6.167,6.17324,0.20683630779385867
64,4096,KV append,25,5.084,5.10176,0.17093604033706716
64,4096,FP32 GQA,25,1699.583,1731.43496,58.012261682942416
64,4096,output projection,25,88.208,88.86488,2.977445178179419
64,4096,attention residual,25,8.166,27.25996,0.9133533569095446
64,4096,MLP RMSNorm,25,7.25,7.41844,0.24855711736304975
64,4096,gate projection,25,273.709,273.83504,9.174927366858183
64,4096,up projection,25,273.209,273.42832,9.161300087972878
64,4096,SiLU,25,33.125,33.2134,1.1128251979966026
64,4096,multiply,25,32.0,32.21844,1.0794887567108957
64,4096,down projection,25,342.709,347.80336,11.653258713527782
64,4096,MLP residual,25,8.333,23.93176,0.8018409906967421
1,4096,attention RMSNorm,100,7.667,8.82122,2.716308080961263
1,4096,packed QKV projection,100,20.5,20.59707,6.342431963506726
1,4096,QKV unpack,100,4.375,4.42587,1.3628530346464578
1,4096,Q RoPE,100,6.458,6.48424,1.9966845301321428
1,4096,K RoPE,100,5.334,5.4083,1.6653715692685143
1,4096,KV append,100,4.125,4.16828,1.2835336436126994
1,4096,FP32 GQA,100,61.9795,62.17712,19.14612871086972
1,4096,output projection,100,17.2295,17.37458,5.350134341656591
1,4096,attention residual,100,3.0415,3.22164,0.9920358823323808
1,4096,MLP RMSNorm,100,6.541,6.58957,2.0291186753147423
1,4096,gate projection,100,52.7295,53.47626,16.466882945622665
1,4096,up projection,100,52.1045,52.38541,16.13097876568876
1,4096,SiLU,100,3.917,3.95209,1.2169625067378662
1,4096,multiply,100,3.375,3.43795,1.0586439706685442
1,4096,down projection,100,67.9585,68.47495,21.085412225113814
1,4096,MLP residual,100,3.208,3.7558,1.156519153866961
