query_rows,rows,layers,variant
1,64,1,0
1,64,24,0
1,256,1,0
1,256,24,0
1,257,1,0
1,257,24,0
1,1024,1,0
1,1024,24,0
1,4095,1,0
1,4095,24,0
1,4096,1,0
1,4096,24,0
7,7,1,0
7,7,24,0
15,15,1,0
15,15,24,0
15,256,1,2
15,256,24,2
16,16,1,0
16,16,24,0
16,256,1,2
16,256,24,0
16,1024,1,2
16,1024,24,2
16,4096,1,2
16,4096,24,2
17,17,1,0
17,17,24,0
17,256,1,2
17,256,24,2
64,64,1,0
64,64,24,0
64,1024,1,3
64,1024,24,3
64,4096,1,3
64,4096,24,3
65,4096,1,3
65,4096,24,3
255,4096,1,3
255,4096,24,3
256,256,1,0
256,256,24,0
256,1024,1,3
256,1024,24,3
256,4096,1,3
256,4096,24,3
257,257,1,0
257,257,24,0
1023,1023,1,0
1023,1023,24,0
1024,1024,1,0
1024,1024,24,0
4096,4096,1,0
4096,4096,24,0
