query_rows,rows,variant,stage,count,median_us,mean_us,active_share_percent
256,256,0,attention RMSNorm,25,10.083,10.18324,0.23315360543919636
256,256,0,packed QKV projection,25,358.917,359.07832,8.221391712563928
256,256,0,QKV unpack,25,32.958,33.11672,0.7582343800519622
256,256,0,Q RoPE,25,33.0,33.024879999999996,0.756131628165182
256,256,0,K RoPE,25,8.334,8.39004,0.19209682535019065
256,256,0,KV append,25,7.709,7.72172,0.17679509254342934
256,256,0,FP32 GQA,25,166.5,167.73,3.8403154831189688
256,256,0,output projection,25,282.291,282.68336,6.472266644178701
256,256,0,attention residual,25,24.25,24.55004,0.5620932374839922
256,256,0,MLP RMSNorm,25,9.458,9.52832,0.21815867658804108
256,256,0,gate projection,25,1027.125,1026.26984,23.497287047099668
256,256,0,up projection,25,1029.375,1028.07504,23.538618576999664
256,256,0,SiLU,25,125.959,126.57184,2.8979657597260884
256,256,0,multiply,25,118.209,118.72176,2.7182317600377646
256,256,0,down projection,25,1106.417,1106.3832,25.331547923583802
256,256,0,MLP residual,25,25.791,25.581599999999998,0.5857116470694343
64,4096,0,attention RMSNorm,25,7.417,7.4334,0.2562336856728631
64,4096,0,packed QKV projection,25,103.75,103.83992,3.5794233354286393
64,4096,0,QKV unpack,25,10.375,10.43004,0.3595296352833681
64,4096,0,Q RoPE,25,11.541,11.50004,0.39641316686648803
64,4096,0,K RoPE,25,5.792,5.86164,0.20205419071857847
64,4096,0,KV append,25,4.584,4.6934,0.16178426834786444
64,4096,0,FP32 GQA,25,1685.0,1692.11504,58.32820422440392
64,4096,0,output projection,25,88.5,88.6866,3.0570794505603005
64,4096,0,attention residual,25,7.917,7.91176,0.2727230372318362
64,4096,0,MLP RMSNorm,25,6.708,6.7918,0.23411735495909697
64,4096,0,gate projection,25,273.833,273.70992,9.43494250367591
64,4096,0,up projection,25,273.208,273.68664,9.434140028334548
64,4096,0,SiLU,25,33.0,33.53512,1.155975380994127
64,4096,0,multiply,25,31.375,31.5016,1.0858787462792616
64,4096,0,down projection,25,337.625,340.4534,11.735629655589301
64,4096,0,MLP residual,25,8.208,8.8734,0.30587133565388425
64,4096,3,attention RMSNorm,25,7.542,8.64348,0.4459021960240011
64,4096,3,packed QKV projection,25,82.625,82.87508,4.275382157147905
64,4096,3,QKV unpack,25,10.625,10.73836,0.553973434970208
64,4096,3,Q RoPE,25,11.5,11.52828,0.5947240426748917
64,4096,3,K RoPE,25,6.042,5.9916,0.3090962896538669
64,4096,3,KV append,25,5.125,5.09496,0.26284018157668493
64,4096,3,FP32 GQA split,25,750.792,752.53012,38.82172841057133
64,4096,3,FP32 GQA merge,25,15.041,14.84664,0.7659125004717748
64,4096,3,output projection,25,68.916,69.53504,3.5871925470547468
64,4096,3,attention residual,25,8.208,8.16336,0.4211336349403817
64,4096,3,MLP RMSNorm,25,6.875,6.92504,0.3572508461353586
64,4096,3,gate projection,25,272.208,272.83492,14.07508202483637
64,4096,3,up projection,25,274.75,274.80492,14.176710920393168
64,4096,3,SiLU,25,34.959,34.41,1.7751524345733292
64,4096,3,multiply,25,31.708,31.72836,1.636811261232753
64,4096,3,down projection,25,338.0,338.41992,17.45849883452808
64,4096,3,MLP residual,25,10.0,9.355,0.4826082832151553
1,4096,0,attention RMSNorm,100,7.75,7.77709,2.4714880432622652
1,4096,0,packed QKV projection,100,19.083,19.12008,6.076186479289552
1,4096,0,QKV unpack,100,4.458,4.4591899999999995,1.4170897813494072
1,4096,0,Q RoPE,100,6.458,6.47254,2.056913989620378
1,4096,0,K RoPE,100,5.5,5.5038,1.7490572813876215
1,4096,0,KV append,100,4.209,4.23377,1.3454533678949945
1,4096,0,FP32 GQA,100,61.8545,61.91116,19.674800173907855
1,4096,0,output projection,100,16.834,16.87291,5.362056414422401
1,4096,0,attention residual,100,3.0,2.98829,0.949651219775031
1,4096,0,MLP RMSNorm,100,6.708,6.70247,2.129983639809239
1,4096,0,gate projection,100,50.9795,51.07201,16.23021747985054
1,4096,0,up projection,100,50.584,50.66666,16.101400958717786
1,4096,0,SiLU,100,3.875,3.88539,1.2347413914987193
1,4096,0,multiply,100,3.375,3.40375,1.0816806064034152
1,4096,0,down projection,100,66.2085,66.47831,21.126198655445968
1,4096,0,MLP residual,100,3.125,3.12495,0.9930805173647748
