query_rows,rows,layers,candidate,control_us,candidate_us,ratio,ratio_min,ratio_max,noise_floor,decision
256,256,1,0,4952.0,4569.0,0.9354393231036986,0.8313253012048193,1.0043036857205916,0.1686746987951807,calibration
256,256,24,0,4530.645833333333,4548.791666666666,1.0012249527844665,0.9994736018438163,1.007256747582613,0.05,calibration
4096,4096,1,0,88851.75,88216.25,0.9928224947783056,0.9781827460820379,0.9979839297055721,0.05,calibration
4096,4096,24,0,86768.72916666667,87238.4375,1.0153595826605653,0.9808587698632371,1.0354910933963193,0.05,calibration
16,256,1,0,924.5,927.75,0.9988782532394749,0.9688674181427804,1.0272479564032697,0.05,calibration
16,256,24,0,784.4479166666667,784.1041666666666,0.9959232168925871,0.9874140992973516,1.000657531364246,0.05,calibration
64,4096,1,0,3055.5,3065.75,1.0009741901990414,0.9946662356554065,1.0044378698224852,0.05,calibration
64,4096,24,0,2961.7708333333335,2965.0520833333335,1.00052038008974,0.9997439799735446,1.0019068032513083,0.05,calibration
1,256,1,0,451.75,463.25,1.0195227765726682,0.9040404040404041,1.0983050847457627,0.09830508474576272,calibration
1,256,24,0,589.1354166666666,568.3854166666666,0.9421677452376316,0.8793687999665146,1.0354325211198772,0.12063120003348538,calibration
1,4096,1,0,452.75,464.25,1.0262993357769181,0.959417273673257,1.0628445424476296,0.0628445424476296,calibration
1,4096,24,0,572.875,525.15625,0.9386902409007929,0.8067491166077738,1.020363216232805,0.19325088339222618,calibration
