query_rows,rows,variant,stage,count,median_us,minimum_us,maximum_us
16,16,0,QK,1000,15.0,10.542,48.375
16,16,0,softmax,1000,11.0205,7.708,35.834
16,16,0,PV,1000,14.125,9.667,44.458
16,16,8,fused,1000,20.584,19.917,81.208
1024,1024,0,QK,100,8460.7495,8457.917,8468.75
1024,1024,0,softmax,100,419.4375,408.708,459.5
1024,1024,0,PV,100,6489.7085,6476.333,6532.5
1024,1024,8,fused,100,1681.646,1597.583,1844.625
64,4096,0,QK,100,3086.9790000000003,3084.625,3091.75
64,4096,0,softmax,100,1192.917,1175.541,1232.292
64,4096,0,PV,100,3493.5209999999997,3419.25,3872.958
64,4096,8,fused,100,1595.7915,1590.167,1843.125
