rows,variant,stage,count,median_us,mean_us,minimum_us,maximum_us,active_share_percent
1,0,RMSNorm,500,7.0,7.762014,6.416,23.083,3.7607008267015236
1,0,gate projection,500,51.3335,59.894154,50.042,210.0,29.018756531795535
1,0,up projection,500,50.6875,59.257504,49.417,211.0,28.71029919310489
1,0,SiLU,500,3.708,4.169422,3.333,15.0,2.0200876682607785
1,0,multiply,500,3.292,3.66782,2.959,11.875,1.7770611733233646
1,0,down projection,500,58.833,68.241582,56.584,259.166,33.06309082189491
1,0,residual,500,3.0,3.405576,2.708,12.958,1.6500037849190774
1,12,RMSNorm,500,7.0,7.583766,6.334,23.041,3.9577351775347913
1,12,gate projection,500,51.625,58.125422,50.375,209.917,30.333877305609732
1,12,up projection,500,50.334,56.975228,49.292,211.75,29.733626288530694
1,12,SiLU,500,3.708,4.058092,3.375,15.208,2.117793911636055
1,12,multiply,500,3.292,3.615258,3.0,11.875,1.886692411456798
1,12,down projection,500,52.667,57.98124,50.125,198.959,30.258633136239617
1,12,residual,500,3.0,3.279828,2.75,12.542,1.7116417689922896
