rows,layers,candidate,control_us,candidate_us,ratio,ratio_min,ratio_max,noise_floor,decision
1,1,2,755.25,751.75,1.772128375907515,0.30953417501088376,3.2569060773480665,2.2569060773480665,calibration
1,1,7,745.5,567.75,1.031086982005744,0.4798814061838204,1.646153846153846,2.2569060773480665,inconclusive
1,24,2,245.36458333333331,245.61458333333331,1.0013202096011504,1.000424412189118,1.0022815616021632,0.05,calibration
1,24,7,245.23958333333331,444.35416666666663,1.8119065042137743,1.7879200340280732,1.8514718250630784,0.05,slower
16,1,2,1031.0,1038.5,1.0080189323635542,0.9737736765420106,1.6088246199480905,0.6088246199480905,calibration
16,1,7,1030.75,649.5,0.6271193551063559,0.6124517374517374,0.6690537084398976,0.6088246199480905,inconclusive
16,24,2,827.09375,827.1458333333334,1.0004723138075722,0.9993894372646791,1.0051380540243933,0.05,calibration
16,24,7,827.34375,537.9375,0.6505481861486169,0.6489624075135147,0.652531338558554,0.05,faster
17,1,2,1178.5,1192.25,1.0117710876490387,0.9578815679733111,1.0972222222222223,0.09722222222222232,calibration
17,1,7,1155.5,758.75,0.6555597310248793,0.6320833333333333,0.6878537222464084,0.09722222222222232,faster
17,24,2,1003.4895833333333,987.78125,0.9990893412081827,0.8220451759761864,1.0003378307045883,0.17795482402381357,calibration
17,24,7,988.46875,626.0208333333334,0.6331221998642205,0.6321853607161664,0.6379281076263634,0.17795482402381357,faster
1024,1,2,47586.25,48363.0,1.0007223010621817,1.0000420340265446,1.1068667002857624,0.1068667002857624,calibration
1024,1,7,48323.0,13443.75,0.28253559505219655,0.2545091129551741,0.2852760736196319,0.1068667002857624,faster
1024,24,2,47471.375,47469.44791666667,1.0000579873570719,0.9997926258088363,1.003818823889111,0.05,calibration
1024,24,7,47424.01041666667,13307.75,0.280612071268057,0.2804283501927576,0.2820101674997658,0.05,faster
