rows,layers,candidate,control_us,candidate_us,ratio,ratio_min,ratio_max,noise_floor,decision
1,1,0,416.0,417.75,1.009677763270504,0.9706916764361079,1.0132530120481928,0.05,calibration
1,1,4,305.5,761.75,2.3340997566909976,0.9020556227327691,6.136,0.05,inconclusive
1,1,5,313.0,636.0,2.5394803113553115,1.3392226148409894,3.4655172413793105,0.05,slower
1,1,6,300.25,521.0,2.141148648648649,1.2958801498127341,2.6889460154241647,0.05,slower
1,24,0,74.33333333333334,74.39583333333333,1.001970875593277,0.888722927557879,1.0156687185226636,0.11127707244212104,calibration
1,24,4,75.07291666666666,241.86458333333331,3.2233969180003763,3.156003267084128,3.2279677509035305,0.11127707244212104,slower
1,24,5,75.04166666666667,267.51041666666663,3.5651051132431055,3.215612449799197,3.581265681628101,0.11127707244212104,slower
1,24,6,74.90625,380.27083333333337,5.076707516572439,4.958573388203018,5.116512992455993,0.11127707244212104,slower
16,1,0,802.75,822.75,1.018245020907739,0.7610004631773969,1.0507836990595611,0.2389995368226031,calibration
16,1,4,779.25,354.5,0.4439959882901442,0.4211469534050179,0.47191011235955055,0.2389995368226031,faster
16,1,5,847.75,444.75,0.5246651568283656,0.3968888888888889,0.5444516547696301,0.2389995368226031,faster
16,1,6,824.25,472.0,0.5765396655863289,0.5515222482435597,0.5970625798212005,0.2389995368226031,faster
16,24,0,615.2604166666666,615.1979166666667,0.999708669965881,0.9962178772836253,1.001083790557475,0.05,calibration
16,24,4,615.2708333333334,234.69791666666669,0.3803984608092691,0.3794901506373118,0.38304083641671466,0.05,faster
16,24,5,614.7395833333334,337.8333333333333,0.5498036677325533,0.5468491299205946,0.5529587101581817,0.05,faster
16,24,6,615.65625,362.5729166666667,0.5885159589505904,0.5873505200040651,0.5899558873430609,0.05,faster
17,1,0,840.5,874.0,1.029747198739942,0.7570991699432067,1.0842558425584257,0.2429008300567933,calibration
17,1,4,856.25,808.0,0.9458927231807952,0.41661955907292253,1.4976218787158144,0.2429008300567933,inconclusive
17,1,5,860.5,705.25,0.834215300458798,0.49184149184149184,1.6613726602382304,0.2429008300567933,inconclusive
17,1,6,859.75,483.5,0.5674426239416266,0.5329171396140749,0.6100178890876565,0.2429008300567933,faster
17,24,0,651.9895833333333,651.375,0.9980867383082948,0.9957474020783372,1.0019225223493222,0.05,calibration
17,24,4,652.0520833333334,239.29166666666669,0.3666581944646362,0.3664395611425647,0.36730069572987806,0.05,faster
17,24,5,651.3229166666666,296.27083333333337,0.45487512875831054,0.45314505776636704,0.4577698392447053,0.05,faster
17,24,6,651.03125,362.1875,0.5562881455506901,0.5557118649486842,0.5578819311051351,0.05,faster
1024,1,0,38400.0,38392.75,0.9998372539062557,0.9996615024085406,0.9999609324130746,0.05,calibration
1024,1,4,38395.75,6048.0,0.15747509964952866,0.15736073665976374,0.15753487100009117,0.05,faster
1024,1,5,38399.0,4283.75,0.11158936025149341,0.1111212361846987,0.11229034274403583,0.05,faster
1024,1,6,38394.5,4959.0,0.12913308442838278,0.1290251232744825,0.12937942176649164,0.05,faster
1024,24,0,38210.291666666664,38207.5,0.9999948215363756,0.9987707875510242,1.0002251791755608,0.05,calibration
1024,24,4,38208.020833333336,5845.645833333334,0.15299925787412028,0.15298631565058182,0.15300391216041218,0.05,faster
1024,24,5,38211.5625,4081.9166666666665,0.10682869475968254,0.10656519729066082,0.10694011296970753,0.05,faster
1024,24,6,38210.04166666667,4768.302083333333,0.12477004631392757,0.12434874748682277,0.12485297926578241,0.05,faster
