rows,variant,stage,count,median_us,mean_us,minimum_us,maximum_us,active_share_percent
1,0,RMSNorm,500,6.75,7.46062,6.167,22.917,3.5955530233056656
1,0,gate projection,500,51.458,58.712064,50.125,212.542,28.295549058887293
1,0,up projection,500,50.75,57.995744,49.458,209.709,27.95032754356359
1,0,SiLU,500,3.709,4.126336,3.375,14.708,1.9886363170855783
1,0,multiply,500,3.2295,3.5902439999999998,2.875,12.042,1.7302734449154396
1,0,down projection,500,64.2915,72.261922,61.958,255.125,34.8257346061022
1,0,residual,500,3.0,3.348828,2.583,12.542,1.6139260061403295
1,7,RMSNorm,500,6.958,7.086592,6.291,10.708,1.6199114012202365
1,7,gate projection,500,74.708,76.983496,73.583,130.125,17.59751977765793
1,7,up projection,500,74.333,76.665234,73.042,134.416,17.52476883582649
1,7,SiLU,500,3.584,3.742394,3.333,9.208,0.8554671566330059
1,7,multiply,500,3.25,3.303672,2.834,4.916,0.7551804786690219
1,7,down projection,500,258.875,266.299416,254.417,432.833,60.87290761436395
1,7,residual,500,3.042,3.387072,2.625,11.625,0.7742447356294576
17,0,RMSNorm,100,6.4795,6.52502,6.208,7.5,0.299062938539794
17,0,gate projection,100,756.4794999999999,756.9984,754.541,764.208,34.695704530242416
17,0,up projection,100,756.5415,757.41832,755.083,765.5,34.71495083280572
17,0,SiLU,100,10.584,10.74874,10.333,16.0,0.492649795709473
17,0,multiply,100,10.125,10.14453,9.75,11.208,0.46495688165018595
17,0,down projection,100,636.0415,636.00248,631.958,640.834,29.15006706299698
17,0,residual,100,3.958,3.98418,3.667,4.833,0.18260795805552726
17,7,RMSNorm,100,6.4585,6.78331,6.208,9.542,1.0394277552039004
17,7,gate projection,100,148.188,160.305,147.083,250.958,24.564035301049376
17,7,up projection,100,148.2495,160.31334,146.375,255.125,24.56531326527015
17,7,SiLU,100,10.792,11.6883,10.333,16.583,1.7910346764558525
17,7,multiply,100,10.2295,10.70919,9.75,18.083,1.6410025963360158
17,7,down projection,100,279.0005,298.23542,276.0,468.833,45.699543900086006
17,7,residual,100,4.042,4.56587,3.625,9.625,0.6996425055987169
1024,0,RMSNorm,25,25.083,25.4866,22.791,27.667,0.017758285375583275
1024,0,gate projection,25,52079.041,52079.80656,52070.917,52102.917,36.28762044359208
1024,0,up projection,25,52086.917,52088.17168,52073.958,52115.833,36.293449004018385
1024,0,SiLU,25,550.916,551.57652,549.542,554.583,0.38432169252199655
1024,0,multiply,25,470.75,470.84164,467.0,478.667,0.32806809106854756
1024,0,down projection,25,38211.916,38215.03344,38198.458,38240.041,26.62706949789214
1024,0,residual,25,88.208,88.57016,86.958,92.292,0.061712985531262345
1024,7,RMSNorm,25,27.416,26.71488,22.583,28.417,0.20120339072203502
1024,7,gate projection,25,4027.708,4027.93832,4024.75,4031.209,30.336458468210132
1024,7,up projection,25,4030.75,4031.01664,4028.542,4035.917,30.35964286663256
1024,7,SiLU,25,550.583,551.48984,549.541,554.083,4.153551345046378
1024,7,multiply,25,469.959,469.75004,466.125,476.25,3.5379272090988843
1024,7,down projection,25,4068.833,4082.9766,4062.333,4106.375,30.750979834411616
1024,7,residual,25,87.291,87.66328,86.75,90.875,0.6602368858784003
4096,0,RMSNorm,10,85.75,85.05,81.0,88.125,0.01428484080494978
4096,0,gate projection,10,218057.5,218055.4707,218021.583,218097.833,36.62419383419037
4096,0,up projection,10,218055.9375,218055.9875,218014.208,218119.542,36.62428063496319
4096,0,SiLU,10,2456.792,2456.5209,2454.125,2459.208,0.4125927100591647
4096,0,multiply,10,1866.1455,1868.0877,1862.5,1878.834,0.3137605573684278
4096,0,down projection,10,154518.083,154520.5832,154501.875,154560.75,25.952991559082864
4096,0,residual,10,344.33349999999996,344.7041,342.625,347.708,0.057895863531022815
4096,7,RMSNorm,10,87.146,85.6836,79.125,88.917,0.16226926164008904
4096,7,gate projection,10,16036.0415,16036.358400000001,16031.833,16041.458,30.369966212482197
4096,7,up projection,10,16032.7495,16032.9625,16030.667,16035.708,30.36353499127296
4096,7,SiLU,10,2457.2915000000003,2457.2625,2455.083,2459.917,4.653611327382127
4096,7,multiply,10,1869.083,1870.1709,1861.667,1896.125,3.5417658814963513
4096,7,down projection,10,15974.354,15974.0709,15967.208,15981.75,30.25200493827795
4096,7,residual,10,346.83299999999997,346.8374,343.417,348.833,0.6568473874483357
