rows,variant,stage,count,median_us,mean_us,minimum_us,maximum_us,active_share_percent
1,7,RMSNorm,500,6.875,7.152932,6.167,22.708,1.5549308624168088
1,7,gate projection,500,75.125,79.045254,73.5,350.625,17.183150206401475
1,7,up projection,500,75.0205,82.448578,73.625,555.084,17.922977388094775
1,7,SiLU,500,3.667,4.765386,3.375,464.333,1.0359172661964335
1,7,multiply,500,3.292,3.416818,2.916,11.25,0.7427605574135582
1,7,down projection,500,261.042,274.21903,252.709,1133.708,59.610748824258465
1,7,residual,500,3.084,8.968081999999999,2.708,814.458,1.949514895218445
1024,7,RMSNorm,25,27.375,26.80836,22.792,28.334,0.20198833355524518
1024,7,gate projection,25,4026.667,4027.0884,4025.166,4031.291,30.342209482253246
1024,7,up projection,25,4029.875,4030.4150799999998,4027.959,4034.042,30.367274445177927
1024,7,SiLU,25,550.334,551.24172,549.208,554.292,4.153346061039432
1024,7,multiply,25,469.417,470.66336,466.167,485.459,3.5462261679532974
1024,7,down projection,25,4065.917,4078.31332,4059.834,4107.375,30.728165065783937
1024,7,residual,25,87.5,87.70164,87.042,91.333,0.6607904442368736
