rows,stage,median_us,mean_us,min_us,max_us,active_share_percent
1,RMSNorm,6.625,7.74851,6.084,22.791,3.5351851410819237
17,RMSNorm,6.4375,6.44207,6.083,7.125,0.2947916842558195
1024,RMSNorm,25.041,25.35144,22.75,29.25,0.017664339357593265
4096,RMSNorm,88.4375,87.8749,85.041,90.25,0.0147602501282039
1,gate projection,51.666,63.251304,49.792,212.875,28.85781525155877
17,gate projection,756.3755,757.10582,754.667,765.458,34.6454633118987
1024,gate projection,52080.625,52080.04,52066.708,52091.375,36.28825424974011
4096,gate projection,218005.2085,218008.0668,217996.5,218037.042,36.61857476861065
1,up projection,53.292,64.581502,51.583,219.375,29.464705634909492
17,up projection,758.104,758.08714,754.416,764.542,34.690368905224126
1024,up projection,52085.042,52087.00496,52074.125,52109.583,36.29310728440213
4096,up projection,218046.8125,218051.1041,218024.208,218106.291,36.62580369647109
1,SiLU,3.5,4.137118,3.125,14.25,1.8875213532024309
17,SiLU,12.833,11.94705,10.333,13.5,0.5467017575699252
1024,SiLU,550.333,550.83164,549.709,554.0,0.38380766606787
4096,SiLU,2455.792,2455.9292,2453.917,2458.041,0.41251972166295153
1,multiply,3.125,3.665168,2.791,11.458,1.6721985843948
17,multiply,10.1045,10.13296,9.791,10.625,0.4636882779753788
1024,multiply,469.083,470.1934,466.375,475.417,0.32762067090865815
4096,multiply,1860.2710000000002,1859.629,1856.083,1863.292,0.3123598341012244
1,down projection,59.5,72.36941,56.584,257.083,33.01786574462259
17,down projection,636.375,636.51364,631.833,641.958,29.127117213473674
1024,down projection,38215.583,38216.2634,38199.334,38230.5,26.628272227406843
4096,down projection,154541.938,154536.4166,154468.209,154571.458,25.957311620637075
1,residual,2.917,3.429568,2.5,12.959,1.5647082902299994
17,residual,4.437,5.06702,3.625,7.0,0.23186884960236728
1024,residual,87.792,87.93836,87.125,90.5,0.06127356211679514
4096,residual,349.6455,349.2915,344.375,356.458,0.0586701083888065
