stage,rows,layers,candidate,control_us,candidate_us,ratio,ratio_min,ratio_max,noise_floor,decision
RMSNorm,1,1,0,156.5,159.75,1.0054668304668306,0.45726495726495725,1.2375886524822695,0.5427350427350428,calibration
RMSNorm,17,1,0,162.5,163.25,0.9771625511286168,0.2702702702702703,5.140151515151516,4.140151515151516,calibration
RMSNorm,1024,1,0,244.25,439.25,1.775333848778479,0.5230769230769231,3.744744744744745,2.744744744744745,calibration
RMSNorm,4096,1,0,488.25,551.5,1.182583401253478,0.42992424242424243,2.136986301369863,1.1369863013698631,calibration
gate projection,1,1,0,286.75,465.25,1.302498985350895,1.021505376344086,2.5104895104895104,1.5104895104895104,calibration
gate projection,17,1,0,970.0,969.75,1.0366331867086964,0.9643221202854231,1.1415414444983034,0.14154144449830341,calibration
gate projection,1024,1,0,56792.0,56768.0,0.9942501390097748,0.977189280076865,1.0002114835571534,0.05,calibration
gate projection,4096,1,0,235896.0,237026.25,1.004695774506228,1.0017798269330191,1.0321651810325088,0.05,calibration
up projection,1,1,0,179.5,273.0,1.0647884726832095,0.9603174603174603,3.5676470588235296,2.5676470588235296,calibration
up projection,17,1,0,944.75,977.25,1.019582771939402,1.0026737967914439,1.2454739084132056,0.2454739084132056,calibration
up projection,1024,1,0,57081.5,57403.0,1.0090701726739266,0.989216522480809,1.0101175250301064,0.05,calibration
up projection,4096,1,0,238417.0,237924.5,0.9979627604527457,0.9627520218703725,1.0124230938776715,0.05,calibration
SiLU,1,1,0,146.25,347.5,2.491349480968858,1.989864864864865,3.255192878338279,2.255192878338279,calibration
SiLU,17,1,0,156.75,539.0,3.4969775428760954,0.968421052631579,4.412337662337662,3.412337662337662,calibration
SiLU,1024,1,0,838.0,777.5,0.9135076322556289,0.7804757185332012,1.3077403245942572,0.30774032459425715,calibration
SiLU,4096,1,0,2803.5,2785.0,0.9845363684915069,0.9764388489208633,1.073011734028683,0.0730117340286831,calibration
multiply,1,1,0,155.75,147.0,0.9437590187590188,0.5010570824524313,1.034013605442177,0.4989429175475687,calibration
multiply,17,1,0,174.75,172.5,0.9957181687188892,0.9124668435013262,1.0,0.08753315649867377,calibration
multiply,1024,1,0,687.0,706.75,1.0287030478595158,0.9725752508361204,1.0346646571213263,0.05,calibration
multiply,4096,1,0,2061.75,2070.75,1.0047276206625568,0.9978370583994232,1.014589515331355,0.05,calibration
down projection,1,1,0,413.0,405.25,0.9800701831341156,0.592503022974607,1.0183823529411764,0.407496977025393,calibration
down projection,17,1,0,872.0,861.25,0.9983189342032763,0.9216695254431103,1.347326049453709,0.34732604945370893,calibration
down projection,1024,1,0,38381.75,38384.25,1.0001042184081763,0.9994920353751775,1.0005212677231026,0.05,calibration
down projection,4096,1,0,154668.5,154668.25,0.9999886851654123,0.9998933302302128,1.0000646579593948,0.05,calibration
residual,1,1,0,144.75,146.25,0.9784236529257373,0.954983922829582,1.065934065934066,0.06593406593406592,calibration
residual,17,1,0,146.0,150.0,1.00503367003367,0.9370629370629371,1.0662020905923344,0.0662020905923344,calibration
residual,1024,1,0,446.0,440.25,0.9855875831485588,0.9565217391304348,1.0281848928974069,0.05,calibration
residual,4096,1,0,874.75,873.5,1.4864679588768337,0.3722764838467318,2.6209424083769632,1.6209424083769632,calibration
