length,position,full_deterministic_equal,cached_deterministic_equal,fixed_scores_softmax_max_abs,fixed_probabilities_pv_max_abs
15,0,True,True,0.0,0.0
15,1,True,True,0.0,0.0
15,2,True,True,5.960464477539063e-08,0.0
15,3,True,True,2.9802322387695312e-08,0.0
15,4,True,True,5.960464477539063e-08,0.0
15,5,True,True,5.960464477539063e-08,0.0
15,6,True,True,5.960464477539063e-08,0.0
15,7,True,True,0.0,0.0
15,8,True,True,0.0,0.0
15,9,True,True,0.0,0.0
15,10,True,True,0.0,0.0
15,11,True,True,0.0,0.0
15,12,True,True,0.0,0.0
15,13,True,True,0.0,0.0
15,14,True,True,0.0,0.0
17,0,True,True,0.0,0.0
17,1,True,True,0.0,0.0
17,2,True,True,1.1920928955078125e-07,0.0
17,3,True,True,5.960464477539063e-08,0.0
17,4,True,True,5.960464477539063e-08,0.0
17,5,True,True,5.960464477539063e-08,0.0
17,6,True,True,1.1920928955078125e-07,0.0
17,7,True,True,0.0,0.0
17,8,True,True,0.0,0.0
17,9,True,True,0.0,0.0
17,10,True,True,0.0,0.0
17,11,True,True,0.0,0.0
17,12,True,True,0.0,0.0
17,13,True,True,0.0,0.0
17,14,True,True,0.0,0.0
17,15,True,True,0.0,0.0
17,16,True,True,0.0,0.0
