length,position,stage,different,max_abs,p99_abs,relative_rms
15,0,scaled_query,0,0.0,0.0,0.0
15,0,scaled_key_transpose,0,0.0,0.0,0.0
15,0,scores,7,6.103515625e-05,5.7067871093749976e-05,7.40323998376596e-08
15,0,probabilities,0,0.0,0.0,0.0
15,0,weighted_values,0,0.0,0.0,0.0
15,1,scaled_query,0,0.0,0.0,0.0
15,1,scaled_key_transpose,0,0.0,0.0,0.0
15,1,scores,17,6.103515625e-05,6.103515625e-05,8.450667583162075e-08
15,1,probabilities,17,8.650124073028564e-06,8.648112416267395e-06,7.163316918795814e-06
15,1,weighted_values,522,9.164214134216309e-07,4.4535845518111996e-07,4.311910473981153e-06
15,2,scaled_query,0,0.0,0.0,0.0
15,2,scaled_key_transpose,0,0.0,0.0,0.0
15,2,scores,18,6.103515625e-05,4.852294921874989e-05,6.102645886875381e-08
15,2,probabilities,39,1.4394521713256836e-05,1.3129860162734973e-05,1.1671900178319705e-05
15,2,weighted_values,803,8.791685104370117e-07,5.014211637899279e-07,6.4141948196343755e-06
15,3,scaled_query,0,0.0,0.0,0.0
15,3,scaled_key_transpose,0,0.0,0.0,0.0
15,3,scores,29,6.103515625e-05,6.103515625e-05,6.724086401637578e-08
15,3,probabilities,52,1.2755393981933594e-05,1.1730939149856572e-05,1.1687539380482205e-05
15,3,weighted_values,813,1.125037670135498e-06,5.820766091346741e-07,8.087137944890529e-06
15,4,scaled_query,0,0.0,0.0,0.0
15,4,scaled_key_transpose,0,0.0,0.0,0.0
15,4,scores,28,6.103515625e-05,6.103515625e-05,6.967491326916083e-08
15,4,probabilities,67,1.9222497940063477e-05,1.6610920429229747e-05,1.3755182719924922e-05
15,4,weighted_values,811,1.3113021850585938e-06,5.277572199702257e-07,6.501543765914886e-06
15,5,scaled_query,0,0.0,0.0,0.0
15,5,scaled_key_transpose,0,0.0,0.0,0.0
15,5,scores,36,0.0001220703125,9.674072265625005e-05,8.363701493809733e-08
15,5,probabilities,72,1.3917684555053711e-05,1.156777143478394e-05,1.3276519040599649e-05
15,5,weighted_values,754,7.655471563339233e-07,4.791188985109317e-07,6.374649136241056e-06
15,6,scaled_query,0,0.0,0.0,0.0
15,6,scaled_key_transpose,0,0.0,0.0,0.0
15,6,scores,34,6.103515625e-05,6.103515625e-05,5.965770005934105e-08
15,6,probabilities,87,8.52346420288086e-06,8.350014686584473e-06,1.0079852062062546e-05
15,6,weighted_values,764,9.499490261077881e-07,4.5415945351123755e-07,6.153512039450956e-06
15,7,scaled_query,0,0.0,0.0,0.0
15,7,scaled_key_transpose,0,0.0,0.0,0.0
15,7,scores,41,6.103515625e-05,5.767822265625002e-05,5.960236414931309e-08
15,7,probabilities,106,1.1533498764038086e-05,4.7837197780609135e-06,8.92744174606807e-06
15,7,weighted_values,841,7.012858986854553e-07,3.509951056912534e-07,4.4488025561363825e-06
15,8,scaled_query,0,0.0,0.0,0.0
15,8,scaled_key_transpose,0,0.0,0.0,0.0
15,8,scores,49,6.103515625e-05,6.103515625e-05,6.162747987660415e-08
15,8,probabilities,119,7.927417755126953e-06,6.8694353103637695e-06,8.999005765298381e-06
15,8,weighted_values,824,6.649643182754517e-07,3.8240104913711497e-07,6.202858169573729e-06
15,9,scaled_query,0,0.0,0.0,0.0
15,9,scaled_key_transpose,0,0.0,0.0,0.0
15,9,scores,57,6.103515625e-05,3.0517578125e-05,5.7341969844074266e-08
15,9,probabilities,137,8.165836334228516e-06,5.277395248413052e-06,7.136062719513124e-06
15,9,weighted_values,841,6.854534149169922e-07,3.1553208827972344e-07,4.893288735485814e-06
15,10,scaled_query,0,0.0,0.0,0.0
15,10,scaled_key_transpose,0,0.0,0.0,0.0
15,10,scores,51,6.103515625e-05,6.103515625e-05,5.5788386805987425e-08
15,10,probabilities,143,8.64267349243164e-06,6.0498714447021484e-06,8.449361013149772e-06
15,10,weighted_values,851,8.046627044677734e-07,3.5506673157215097e-07,5.928008586850108e-06
15,11,scaled_query,0,0.0,0.0,0.0
15,11,scaled_key_transpose,0,0.0,0.0,0.0
15,11,scores,54,6.103515625e-05,6.103515625e-05,5.293786714949203e-08
15,11,probabilities,159,7.867813110351562e-06,3.6799162626266596e-06,6.741689910558644e-06
15,11,weighted_values,815,6.705522537231445e-07,2.8510112315416283e-07,4.702693973590931e-06
15,12,scaled_query,0,0.0,0.0,0.0
