layer,stage,coordinate,exact_numerator,exact_denominator,exact_sum,native,upstream,midpoint_distance,closer_to_exact
0,B_mlp,511,-6962545613,137438953472,-0.05065918676700676,-0.05078125,-0.050537109375,-7.079506758600473e-09,native
3,K_raw,1,14488703,274877906944,5.270959445624612e-05,5.269050598144531e-05,5.2928924560546875e-05,-1.0012081474997103e-07,native
4,Q_raw,696,-6963203,536870912,-0.012969976291060448,-0.012939453125,-0.01300048828125,-5.587935447692871e-09,upstream
4,V_raw,116,-617243,68719476736,-8.98206781130284e-06,-9.238719940185547e-06,-9.179115295410156e-06,2.2684980649501085e-07,upstream
9,K_raw,12,178849481,549755813888,0.000325325310768676,0.0003261566162109375,0.000324249267578125,1.223688741447404e-07,native
11,K_raw,33,-14039825,2199023255552,-6.384573225659551e-06,-6.318092346191406e-06,-6.3478946685791016e-06,-5.157971827429719e-08,upstream
12,K_raw,113,133961003,34359738368,0.003898778319125995,0.0038909912109375,0.00390625,1.5771365724503994e-07,upstream
16,G,196,377481,17179869184,2.197228604927659e-05,2.193450927734375e-05,2.181529998779297e-05,9.738141670823097e-08,native
20,G,3296,-3301399,68719476736,-4.8041678383015096e-05,-4.792213439941406e-05,-4.8160552978515625e-05,-3.346940502524376e-10,upstream
23,B_mlp,163,499290046303,274877906944,1.816406607042154,1.8203125,1.8125,3.57042154064402e-07,native
