module,shape,different,max_abs,required_atol,relative_rms,exact
model.layers.0.self_attn.q_proj,"[1, 64, 896]",7,0.00390625,0.0,1.6994113695488934e-05,False
model.layers.0.self_attn.k_proj,"[1, 64, 128]",0,0.0,0.0,0.0,True
model.layers.0.self_attn.v_proj,"[1, 64, 128]",2,7.62939453125e-06,0.0,2.4179062979375726e-05,False
model.layers.0.self_attn.o_proj,"[1, 64, 896]",9,1.52587890625e-05,0.0,5.621267396495005e-05,False
model.layers.0.mlp.gate_proj,"[1, 64, 4864]",42,0.00390625,0.0,8.131674334961621e-05,False
model.layers.0.mlp.up_proj,"[1, 64, 4864]",46,0.00390625,2.9802322387695312e-08,0.00017386880337905063,False
model.layers.0.mlp.down_proj,"[1, 64, 896]",25,0.00048828125,0.0,6.116417893499871e-05,False
model.layers.1.self_attn.q_proj,"[1, 64, 896]",6,0.000244140625,0.0,6.283791032689552e-06,False
model.layers.1.self_attn.k_proj,"[1, 64, 128]",1,7.62939453125e-06,0.0,3.642790663539119e-08,False
model.layers.1.self_attn.v_proj,"[1, 64, 128]",0,0.0,0.0,0.0,True
model.layers.1.self_attn.o_proj,"[1, 64, 896]",6,0.0009765625,2.0954757928848267e-09,0.0003251268993696497,False
model.layers.1.mlp.gate_proj,"[1, 64, 4864]",39,0.00390625,1.30385160446167e-08,9.070663849527444e-05,False
model.layers.1.mlp.up_proj,"[1, 64, 4864]",54,0.001953125,1.3737007975578308e-08,8.639492301146968e-05,False
model.layers.1.mlp.down_proj,"[1, 64, 896]",24,0.0009765625,0.0,0.00028203807293005595,False
model.layers.2.self_attn.q_proj,"[1, 64, 896]",5,0.00390625,0.0,9.997796704691989e-05,False
model.layers.2.self_attn.k_proj,"[1, 64, 128]",0,0.0,0.0,0.0,True
model.layers.2.self_attn.v_proj,"[1, 64, 128]",2,2.384185791015625e-07,0.0,6.16469837404602e-08,False
model.layers.2.self_attn.o_proj,"[1, 64, 896]",19,0.00048828125,0.0,0.00017640082861395155,False
model.layers.2.mlp.gate_proj,"[1, 64, 4864]",28,0.0078125,8.475035429000854e-08,0.0001322275684766056,False
model.layers.2.mlp.up_proj,"[1, 64, 4864]",46,0.001953125,0.0,5.8856891866417565e-05,False
model.layers.2.mlp.down_proj,"[1, 64, 896]",25,0.0009765625,1.1781230568885803e-07,0.0002720152986413477,False
model.layers.3.self_attn.q_proj,"[1, 64, 896]",7,0.00390625,0.0,7.417729845558791e-05,False
model.layers.3.self_attn.k_proj,"[1, 64, 128]",3,7.62939453125e-06,0.0,1.7969612892326171e-07,False
model.layers.3.self_attn.v_proj,"[1, 64, 128]",4,3.0517578125e-05,0.0,6.440197449629433e-06,False
model.layers.3.self_attn.o_proj,"[1, 64, 896]",10,0.00048828125,0.0,0.0002063474832023117,False
model.layers.3.mlp.gate_proj,"[1, 64, 4864]",48,0.03125,6.51925802230835e-08,0.00016430516037020074,False
model.layers.3.mlp.up_proj,"[1, 64, 4864]",50,0.00390625,0.0,0.00011084138848144015,False
model.layers.3.mlp.down_proj,"[1, 64, 896]",19,0.00048828125,8.381903171539307e-09,8.643834844092714e-05,False
