length,layer,max_row_relative_rms,max_abs
17,0,0.0,0.0
17,1,0.005174529631939429,0.015625
17,2,0.0064677146534288495,0.0234375
17,3,0.00820722491677916,0.03125
17,4,0.009781389965935161,0.0625
17,5,0.009923999365755009,0.0625
17,6,0.011306239526610324,0.0625
17,7,0.012588737290593933,0.078125
17,8,0.013449409727245691,0.0625
17,9,0.01339641772719557,0.0625
17,10,0.014264288680383675,0.0625
17,11,0.014068842754413507,0.0625
17,12,0.015120474000960085,0.09375
17,13,0.015076763736868563,0.0625
17,14,0.015165588397087065,0.078125
17,15,0.014277232978410036,0.0859375
17,16,0.014151307023751192,0.09375
17,17,0.015339075587711005,0.125
17,18,0.014159953422693066,0.15625
17,19,0.014367217166933375,0.15625
17,20,0.013734046998608822,0.25
17,21,0.014317244555119691,0.25
17,22,0.014056022581445145,0.5
17,23,0.015566895889558466,0.75
17,24,0.023103085281180005,1.0
15,0,0.0,0.0
15,1,0.0033470929454443373,0.0078125
15,2,0.005237974708621123,0.015625
15,3,0.008244099729007236,0.03125
15,4,0.011322926434302974,0.0625
15,5,0.011426164390037142,0.09375
15,6,0.01401043638078684,0.125
15,7,0.013789753348564306,0.125
15,8,0.013864847502184587,0.109375
15,9,0.014058463786487152,0.09375
15,10,0.014169917148189371,0.125
15,11,0.014253857703930398,0.125
15,12,0.015558142722649491,0.09375
15,13,0.015228589097775296,0.125
15,14,0.015098103129645282,0.0625
15,15,0.014116912309473185,0.125
15,16,0.014850472080753652,0.125
15,17,0.01613995964903605,0.1875
15,18,0.014098892536207826,0.140625
15,19,0.013957032978770666,0.125
15,20,0.01362699771381783,0.25
15,21,0.013997614614085633,0.25
15,22,0.015596064762421886,0.25
15,23,0.01596335660138065,0.5
15,24,0.034322268838709896,0.875
