rows,total,configuration,baseline_ms,candidate_ms,median_ratio,min_ratio,max_ratio,control_noise,outcome
16,1024,2,28.54992725,20.82657275,0.7303215323001673,0.7268945039482941,0.7637404176610878,0.002660717013856617,gain
16,4096,2,58.869375,28.707448,0.4879771222704714,0.4861198290854032,0.4895799240100684,0.002086719869210718,gain
15,256,2,25.44228125,23.69984375,0.9280800471875652,0.9234199187745777,0.9332599964872399,0.002528194692692165,gain
17,256,2,23.135927,21.43416625,0.9273669561647866,0.921059795219493,0.9332647762595443,0.003830854762627567,gain
64,1024,3,41.66930225,35.55581275,0.8530315010950473,0.8504452822308434,0.8588697454043607,0.0023800002107896567,gain
64,4096,3,72.1015625,48.84117675,0.6773670699737517,0.6763434918727191,0.680046832344175,0.0012479294322977896,gain
256,1024,3,122.9944895,116.11365625,0.9441546762413595,0.9439203712674001,0.94432803933307,0.0007456558876381969,gain
256,4096,3,182.89574975,163.206677,0.8924839821066162,0.8920373308783127,0.8926590121425784,0.0005721565522153194,gain
65,4096,3,76.9773645,59.96910425,0.7786434960178964,0.7775975293705101,0.7800491105318588,0.0009932726452803742,gain
255,4096,3,183.32297925,163.513479,0.8920534002961944,0.8914763234565046,0.8926669939426667,0.0003363752665244135,gain
16,256,2,20.6675415,20.37733325,0.9891978967754019,0.9164143804647309,1.074041137337045,0.012194086016630301,inconclusive
16,256,21,20.6675415,19.271208,0.9358259337422279,0.925968921814879,0.9470556829859155,0.012194086016630301,gain
