phase,length,checks,pointwise_failures,relative_rms_failures,max_required_atol_ratio,max_relative_rms
calibration,1,75,0,0,0.0,0.0
calibration,17,1275,0,0,0.6643668831168831,0.02915949146681771
calibration,65,225,0,0,0.392578125,0.01706275351847882
calibration,257,225,0,0,0.5875,0.026120572166339024
calibration,1024,225,0,0,0.5548095703125,0.021144770848419227
confirmation,15,1125,8,0,1.9234375,0.034322268838709896
confirmation,33,225,0,0,0.5914713541666666,0.024935523611624356
confirmation,129,225,0,0,0.5791015625,0.022915391750153793
confirmation,1025,225,0,0,0.65,0.022282246877505855
confirmation,4096,225,0,0,0.6611328125,0.02728027071000909
