mode,case,family,input_bytes,pieces,max_piece_bytes,output_tokens,candidate,control_us,candidate_us,ratio,ratio_min,ratio_max,noise_floor,decision
decode,1,prose,64,12,10,12,0,0.80225,0.791,0.975054945054945,0.9469696969696969,0.9993682880606443,0.053030303030303094,calibration
decode,2,prose,256,46,10,46,0,1.729,1.75,1.0114566284779052,0.8125,1.204923076923077,0.20492307692307699,calibration
decode,3,prose,4096,737,10,737,0,21.84375,21.875,1.0025166628971713,0.9927739079487012,1.0063709554251303,0.05,calibration
decode,4,prose,16384,2946,10,2947,0,76.1875,72.15625,0.9616199961877305,0.9068451689471337,1.004729206188046,0.09315483105286626,calibration
decode,5,multilingual,63,9,11,18,0,0.88525,0.875,1.0,0.8071955719557194,1.2099385817978783,0.20993858179787828,calibration
decode,6,multilingual,254,33,11,71,0,1.90625,2.0105,0.994787489339184,0.8084,1.2092633928571428,0.2092633928571428,calibration
decode,7,multilingual,4096,542,11,1144,0,23.56275,23.509999999999998,0.9963111312858912,0.9175711406541797,1.0055693484533315,0.08242885934582034,calibration
decode,8,multilingual,16383,2169,11,4578,0,89.82275,87.92699999999999,0.9943878465981439,0.9496087551299589,1.0215574642792757,0.050391244870041096,calibration
decode,9,code,64,18,9,18,0,0.92725,0.9375,1.0106607051981098,0.9567031820552948,1.044711014176663,0.05,calibration
decode,10,code,256,71,9,71,0,1.97925,2.0,1.005290322580645,0.8347245409015025,1.1169262190451876,0.1652754590984975,calibration
decode,11,code,4096,1125,9,1125,0,22.3125,22.99975,1.0228419444083727,0.989346145811573,1.1029571174608679,0.10295711746086789,calibration
decode,12,code,16384,4498,9,4498,0,80.979,83.09375,1.0236761240167513,0.983371126228269,1.1223346806790622,0.12233468067906217,calibration
decode,13,whitespace,64,22,10,22,0,0.958,0.9582499999999999,1.0002609603340291,1.0,1.0438413361169103,0.05,calibration
decode,14,whitespace,256,79,10,79,0,2.09375,2.125,1.0048439185563809,0.9900213827512474,1.144235526966848,0.14423552696684805,calibration
decode,15,whitespace,4096,1247,11,1247,0,22.71875,24.17725,1.084065018090684,1.008388659608828,1.1611544360674864,0.16115443606748636,calibration
decode,16,whitespace,16384,4989,10,4989,0,88.90625,88.625,1.0001454218722758,0.8711561415683553,1.0244558404558404,0.1288438584316447,calibration
decode,17,long_piece,128,1,128,16,0,1.1455,1.11475,0.9546988861066633,0.9,1.0,0.09999999999999998,calibration
decode,18,long_piece,512,1,512,64,0,2.5,2.625,1.0044210526315789,0.8182668329177056,1.24057412167952,0.24057412167952008,calibration
decode,19,long_piece,2048,1,2048,256,0,8.760000000000002,8.79175,1.00466692594033,0.9975940379085734,1.1022933333333333,0.10229333333333335,calibration
decode,20,long_piece,4096,1,4096,512,0,18.69775,17.0,1.0011574068977274,0.7914110429447853,1.005887323943662,0.20858895705521474,calibration
