mode,case,family,input_bytes,pieces,max_piece_bytes,output_tokens,candidate,control_us,candidate_us,ratio,ratio_min,ratio_max,noise_floor,decision
stream,1,prose,64,12,10,12,0,0.5625,0.604,1.125,0.8110944527736133,1.3062730627306272,0.30627306273062715,calibration
stream,2,prose,256,46,10,46,0,1.36475,1.3645,0.9999310043961207,0.9667999999999999,1.0454545454545454,0.05,calibration
stream,3,prose,4096,737,10,737,0,18.729,18.281,0.9988597808554425,0.9458102978268067,1.017121002104831,0.0541897021731933,calibration
stream,4,prose,16384,2946,10,2947,0,69.66675000000001,71.28125,1.005327444641066,1.0014505041728272,1.0918157389635317,0.09181573896353168,calibration
stream,5,multilingual,63,9,11,18,0,0.542,0.5625,1.0378228782287822,0.8,1.3071955719557193,0.30719557195571934,calibration
stream,6,multilingual,254,33,11,71,0,1.4795,1.646,1.1177197317331449,0.8218666666666666,1.3528581510232887,0.35285815102328866,calibration
stream,7,multilingual,4096,542,11,1144,0,22.86425,22.89575,1.0021278997148253,0.9971777339268506,1.080348717948718,0.0803487179487179,calibration
stream,8,multilingual,16383,2169,11,4578,0,88.8335,87.1455,0.9878899509753125,0.975822016957331,1.0364538905612821,0.05,calibration
stream,9,code,64,18,9,18,0,0.58375,0.563,1.017979818877581,0.8132033008252062,1.0830000000000002,0.1867966991747938,calibration
stream,10,code,256,71,9,71,0,1.625,1.5625,0.9872120849383113,0.9496100779844031,1.0587238848108413,0.05872388481084134,calibration
stream,11,code,4096,1125,9,1125,0,20.1875,20.1565,1.0072907172468908,0.8618207723297632,1.0487447120596927,0.13817922767023683,calibration
stream,12,code,16384,4498,9,4498,0,80.51050000000001,80.24975,0.996762868476406,0.9958879956598935,1.001485345538278,0.05,calibration
stream,13,whitespace,64,22,10,22,0,0.63525,0.625,0.9841208365608056,0.9469696969696969,1.0,0.053030303030303094,calibration
stream,14,whitespace,256,79,10,79,0,1.66675,1.6355,0.9812500146235379,0.9748050389922015,1.2502250225022502,0.2502250225022502,calibration
stream,15,whitespace,4096,1247,11,1247,0,23.2085,22.521,0.9962562706583952,0.9400529619049605,1.019366470223325,0.05994703809503954,calibration
stream,16,whitespace,16384,4989,10,4989,0,79.896,86.02074999999999,1.0238260761406524,0.9809417040358744,1.121146239882652,0.12114623988265194,calibration
stream,17,long_piece,128,1,128,16,0,0.698,0.6665,1.050470359118174,0.8111615833874108,1.2350035285815104,0.2350035285815104,calibration
stream,18,long_piece,512,1,512,64,0,2.104,2.125,1.0,0.7969248078004875,1.1101776284205471,0.20307519219951253,calibration
stream,19,long_piece,2048,1,2048,256,0,8.6875,7.833,0.9820175438596491,0.8245263157894737,1.104456225820318,0.17547368421052634,calibration
stream,20,long_piece,4096,1,4096,512,0,16.23925,16.41675,1.0011201048260594,0.9970090458126641,1.0213773141168667,0.05,calibration
